PID,start_time,end_time,issue,stance,care,moral1,moral2,benev1,benev2,benev3,integ1,integ2,integ3,legality_self,care_self,libcon,demrep,age,gender,match,morality_composite,benev_composite,integ_composite
New participant IDs generated to maintain anonymity,,,Issue target was referring to,Target's stance,Target's level of caring,"""This person is moral."" (1=strongly disagree, 7=strongly agree)","""This person is ethical."" (1=strongly disagree, 7=strongly agree)","""This person is kind."" (1=strongly disagree, 7=strongly agree)","""This person is nice."" (1=strongly disagree, 7=strongly agree)","""This person is selfish."" (1=strongly disagree, 7=strongly agree)","""This person is has a great deal of integrity."" (1=strongly disagree, 7=strongly agree)","""I can trust this person's word."" (1=strongly disagree, 7=strongly agree)","""This person cares about honesty and truth."" (1=strongly disagree, 7=strongly agree)","""Do you think [issue] should be legal or illegal?"" (1=legal, 2=illegal)","""How strongly do you care about whether or not [issue] should be legal (regardless of your stance on the issue)?"" (1=not at all, 5=extremely)","""Do you consider yourself to be more liberal or conservative?"" (1=definitely liberal, 7=definitely conservative)","""Do you consider yourself to be more of a Democrat or a Republican?"" (1=definitely a democrat, 7=definitely a republican)","""What is your age?""","""What is your gender?"" (1=male, 2=female, 3=other)","Whether or not participants agreed with target (based on ""stance"" and ""legality_self"" agreement)","Morality measure: mean of ""moral1"" and ""moral2""","Benevolence measure: mean of ""benev1"", ""benev2"", and ""benev3"" (reverse)","Integrity measure: mean of ""integ1"", ""integ2"", and ""integ3"""
1,6/13/17 8:37,6/13/17 8:38,capital,legal,high,4,4,4,4,1,4,1,4,1,1,4,4,25,1,yes,4,5,3
2,6/13/17 8:37,6/13/17 8:38,abortion,illegal,low,3,3,3,4,6,3,3,4,1,3,3,5,31,2,no,3,3,3.333333333
3,6/13/17 8:37,6/13/17 8:38,suicide,illegal,low,3,4,5,4,3,5,3,6,1,4,3,3,21,1,no,3.5,4.666666667,4.666666667
4,6/13/17 8:37,6/13/17 8:38,suicide,illegal,high,7,7,7,7,1,7,7,7,2,5,7,7,39,2,yes,7,7,7
5,6/13/17 8:37,6/13/17 8:38,testing,illegal,low,4,4,4,4,4,3,4,4,2,4,1,1,25,2,yes,4,4,3.666666667
6,6/13/17 8:37,6/13/17 8:38,suicide,illegal,high,4,4,4,4,4,4,4,4,1,5,1,1,33,2,no,4,4,4
7,6/13/17 8:37,6/13/17 8:38,abortion,legal,low,4,4,4,4,4,4,4,4,1,3,2,1,39,2,yes,4,4,4
8,6/13/17 8:37,6/13/17 8:38,testing,illegal,high,5,6,6,4,3,5,4,6,2,4,3,3,21,2,yes,5.5,5,5
9,6/13/17 8:37,6/13/17 8:38,abortion,illegal,low,4,4,4,4,4,4,4,4,1,1,6,6,58,1,no,4,4,4
