"","condition","other_party","other_attitude","Q1.attT1_1","Q2.att_1","Q3.receparg","Q4.recepoarg","Q5.recepgen","Q6.recepogen","Q7.valueco","Q7.valuewv","Q8.valuemoral","Q9.compcheck","Q11.similarlib","Q11.similarcons","Q11.conslibotherMC","Q12.importance","dem.ideology","dem.state","dem.gender","dem.gender_TEXT","dem.age","dem.eth_1","dem.eth_2","dem.eth_3","dem.eth_4","dem.eth_5","dem.eth_6","dem.eth_7","optin_1","optin_2","optin_3","FR.question","Exclude"
"1","control","conservative","against",100,100,2,2,2,2,7,7,7,1,4,2,5,6,2,"Indiana",1,"",21,NA,NA,NA,NA,NA,1,NA,1,1,1,"It's admittedly rather difficult for me to think of an argument against UHC just because I'm such a large proponent. In the US context, the most common contra argument I hear is that the US is ""too large"" to implement such measures. So I guess I'll go with that.",""
"2","control","conservative","against",93,98,1,4,1,3,7,7,7,1,6,2,5,7,2,"Utah",1,"",31,NA,NA,NA,NA,NA,1,NA,1,1,1,"Costs are too much to cover universally and would be applied unfairly to different income levels with the rich supporting the poor. ",""
"3","control","conservative","against",100,100,1,1,2,2,7,7,7,1,3,2,5,7,1,"Florida",1,"",36,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"free market fundamentalism, I guess",""
"4","PT","conservative","against",90,90,4,5,4,4,3,2,4,1,6,3,5,6,2,"Michigan",1,"",28,NA,NA,NA,NA,NA,1,NA,1,1,1,"They may not want to pay the additional taxes. They may believe the federal government should not have this role in the marketplace. They may think that health outcomes will deteriorate.",""
"5","PT","liberal","in support of",0,0,1,5,1,3,7,7,7,1,3,5,3,7,6,"Massachusetts ",1,"",23,NA,NA,NA,NA,NA,1,NA,NA,1,1,"The most prominent argument for universal healthcare utilized empathy for poor, low income, or disabled individuals. While Medicare, Medicare, CHIP, and other governmental programs exist for individuals in a tight stop, financially or otherwise, many low and middle class families do not have health insurance. As a result, universal health care would cover these people and that would help them and make others feel good. ",""
"6","control","conservative","in support of",0,0,7,7,7,7,7,7,1,1,2,6,3,3,4,"PA",1,"",34,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal Health Care is considered to be a humane allocation of health care resources in that it is not dependent on the patient’s ability to pay ",""
"7","control","conservative","against",100,100,2,3,2,2,6,7,7,1,7,2,6,7,3,"Washington",2,"",51,NA,NA,NA,NA,NA,1,NA,1,1,1,"People who don’t have to pay for health care or get reduced salary in order to get benefits will consume more health care than they need. If you suddenly let everyone have coverage, there would not be enough doctors to manage everyone and the currently insured would have to wait longer for appointments.",""
"8","PT","conservative","against",100,100,4,3,1,4,6,5,7,1,4,4,5,7,1,"Maryland",1,"",29,NA,NA,NA,NA,NA,1,NA,1,1,1,"The government cannot or will not do a good job of implementing healthcare.  Government run healthcare will be wasteful, inefficient, and poorly managed.  The current system needs improvement, but UHC is not the way to do it.",""
"9","control","liberal","in support of",15,19,2,5,2,5,2,2,1,1,2,5,2,3,5,"Colorado",1,"",29,NA,NA,NA,NA,NA,1,NA,1,1,1,"It removes the link of employment and healthcare. Employment and healthcare should not be linked as you should be the one who makes decisions about your health, not the employer",""
"10","PT","conservative","against",100,100,6,6,3,3,4,5,6,1,4,3,5,2,1,"NY",2,"",28,NA,NA,NA,NA,NA,1,NA,1,1,1,"People are not entitled to health care. They should be independent members of society or depend upon support from the family and direct community in times of need. It is not the responsibility of others to support them. Too much social welfare is a burden on the government debt and/or tax system when we need to be more fiscally responsible and be paying down government debt/keeping government small and taxes low. Giving the government too much power/income makes citizens vulnerable if the government becomes corrupt.",""
"11","PT","conservative","against",100,90,3,5,4,3,6,5,7,1,6,1,5,7,3,"Texas, California, North Carolina",1,"",31,NA,NA,NA,NA,NA,1,NA,1,1,1,"Healthcare is a service that should be dealt with like any other service, in the manner with which it's most cost effective for the taxpayer, which is privately and not publicly. UHC is also impossible to implement in the United States on a national level as the US a much larger country than other UHC countries that have a more educated and smaller population.",""
"12","control","conservative","against",82,82,4,5,3,3,5,5,5,1,5,2,5,6,3,"Washington",1,"",33,NA,NA,1,NA,NA,1,NA,1,1,1,"It is too expensive. It would require either a significant tax increase or significant deficits. Either way, this cost would outweigh the benefit.",""
"13","control","conservative","against",95,95,3,2,3,3,6,6,6,1,5,1,5,7,3,"Illinois ",1,"",42,NA,NA,NA,NA,NA,1,NA,1,1,1,"It will cause rationing of health care. There will be lines at the doctor and you will wait months for care. Also, the government is terrible at everything and will make healthcare worse. ",""
"14","PT","conservative","against",100,100,1,2,1,2,1,7,7,1,6,4,5,7,2,"Ohio",1,"",32,NA,NA,1,NA,NA,1,NA,1,1,1,"The government has no place in determining the quality of care I receive. The free market is the best way to distribute services for everybody. I already pay too much in taxes and UHC would raise them even higher.",""
"15","control","liberal","in support of",30,40,3,5,5,5,3,4,2,1,5,5,2,5,5,"New Jersey",1,"",20,NA,NA,NA,NA,NA,1,NA,1,1,1,"Everybody regardless of social status would be able to recive healthcare. People born with rare disease by chance would not be punished. No or at least few medical bankruptcies. ",""
"16","PT","conservative","against",100,100,4,4,3,3,2,3,3,1,5,3,5,6,2,"TX ",2,"",64,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"We do not have the money to pay for it",""
"17","PT","liberal","in support of",20,20,2,2,2,2,2,4,6,1,2,5,2,3,6,"Minnesota",1,"",38,NA,NA,NA,NA,NA,1,NA,1,1,1,"Health care costs in the United States are too high; the purchasing power of the Federal Government should be used to being them down.",""
"18","control","conservative","against",95,95,5,5,4,4,1,1,1,1,7,2,6,5,2,"Connecticut ",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal healthcare (UHC) forces the government to decide what kinds of diseases to cover and not cover. This can lead to politically disfavored groups being blocked access to care, such as transgender people. It also could lead to corruption in the government decisions of what treatments to cover. ",""
"19","PT","conservative","against",100,100,5,6,3,3,2,2,1,1,6,2,5,7,2,"California",1,"",34,NA,NA,NA,NA,NA,1,NA,1,1,1,"Government-mandated healthcare forces out competition and results in poor quality care without available alternatives.",""
"20","control","conservative","against",100,100,2,7,1,7,6,6,7,1,6,3,5,7,2,"MA",1,"",33,NA,NA,NA,NA,NA,1,NA,1,1,NA,"It carries a high cost burden to all taxpayers.  Compensation rates for providers must be carefully maintained to ensure availability of services.  ",""
"21","PT","liberal","in support of",0,0,2,5,2,5,4,6,4,1,4,5,2,6,7,"Rhode Island",1,"",50,NA,NA,NA,NA,NA,1,NA,1,1,1,"Health care is a right. Universal health care is the only way to ensure that everyone can get the health care that they need.",""
"22","PT","conservative","against",100,100,2,3,1,3,7,3,7,1,6,4,5,7,2,"California",1,"",32,1,NA,NA,NA,NA,1,NA,1,1,1,"UHC is unrealistic because for-profit capital markets lead to the best price outcomes when providers and users can compete on price. Furthermore people should take personal responsiblity for healthcare costs and I don't want my taxes to be raised in order to pay for an unemployed persons healthcare. Enacting UHC would be a drain on the economy or cause employers to hire less if they we increased taxes to pay for it. ",""
"23","PT","conservative","against",100,100,3,5,2,3,7,7,7,1,5,4,4,7,3,"California",1,"",54,NA,NA,NA,NA,NA,1,NA,1,1,1,"It would discourage people from taking personal responsibility to maintain their own health.",""
"24","control","conservative","against",100,100,2,2,2,2,5,5,7,1,5,2,4,7,1,"Oregon",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,NA,"They could claim that it is not the role of the government to administer healthcare and a smaller government that does less is more ideal. They could also claim that healthcare administered by the private market is more cost effective and more choice in healthcare drives affordability through competition. Additionally they could claim that medical innovation depends on the market forces of the private market.",""
"25","control","conservative","in support of",25,25,3,5,2,5,3,2,2,1,2,2,5,6,3,"Wisconsin",1,"",28,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Coverage. UHC provides a safety net where all individuals have insurance.",""
"26","PT","conservative","against",95,95,1,2,2,2,7,7,7,1,5,2,5,7,2,"Maine",1,"",34,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"That they do not see the utility in paying taxes into a system that pays for someone else's care. There is also a high chance (&gt;65%) that they will speak to ""government inefficiency"" as a reason to oppose a UHC system being administered by the federal government. ",""
"27","control","conservative","against",90,90,2,6,2,6,2,6,7,1,6,5,5,6,2,"Wisconsin",1,"",33,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The cost of universal healthcare is daunting and there is, as of yet, no clear plan to pay for such an endeavor. With ~350 million people needing care, this is a crucial part of the plan which is almost never discussed in detail. This is the most important missing piece, in my opinion.",""
"28","PT","conservative","against",100,100,1,1,1,1,7,7,7,1,5,2,5,7,1,"Washington",1,"",23,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal healthcare enslaves medical professionals because it forces them to provide a service to people.",""
"29","PT","conservative","against",90,90,3,3,2,2,6,5,6,1,5,2,5,6,2,"Texas",1,"",31,NA,NA,NA,NA,NA,1,NA,1,1,1,"The necessary tax increases to pay for universal health care in the US would be a significantly drain on the US economy and would further exacerbate the problems we already experience with our rapidly rising federal deficits. While other western democracies are able to do this, that is primarily because health care is generally cheaper there and they do not have the added burden of maintaining the world's largest and most advanced military which effectively subsidizes their security.",""
"30","control","conservative","against",85,85,3,3,2,2,6,7,7,1,5,3,5,6,2,"Virginia",1,"",34,NA,NA,NA,NA,NA,1,NA,1,1,1,"People will be compelled to contribute to a government medical fund that they would otherwise not choose for themselves, if they had the option. ",""
"31","PT","conservative","against",100,100,2,2,2,3,6,5,5,1,7,3,5,5,2,"Wisconsin",1,"",27,NA,NA,NA,NA,NA,1,NA,1,1,NA,"There has to be an incentive for people to work. The government giving things out makes people lazy and slows the economy. ",""
"32","PT","conservative","against",100,100,2,2,2,2,7,7,7,1,4,2,6,7,2,"Virginia ",1,"",28,NA,NA,NA,NA,NA,1,NA,1,NA,1,"There isn’t enough revenue to pay for a universal healthcare program, or there would need to be cuts elsewhere. Perhaps some people like the choice or appearance of choice in choosing healthcare services. ",""
"33","control","liberal","in support of",5,5,3,3,4,4,6,4,5,1,6,6,2,4,4,"New York",1,"",21,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"People do not deserve to die simply for being poor. Therefore, the government should pay for everyone's healthcare.",""
"34","PT","conservative","against",100,100,7,5,2,1,4,7,4,1,6,3,6,7,1,"Maryland",1,"",34,NA,NA,NA,NA,NA,1,NA,1,1,1,"One possible argument he may use, is the one that sounds like ""Universal health care means worse quality and longer wait times"" and while it is wrong, it is popular.  This comes from a sense that everything in America is the best, which I call nativism.  ",""
"35","control","conservative","against",100,100,2,4,2,5,7,7,7,1,5,4,4,7,1,"Arizona",1,"",34,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal healthcare will cost too much and bankrupt the country. The country cannot afford to spend the estimated 32.6 billion dollars over 10 years that UHC will cost. Taxes will have to be raised for everyone.",""
"36","PT","conservative","against",100,100,5,5,4,4,5,4,4,1,6,4,4,6,1,"SD",1,"",24,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Cost of living and taxes are already a burden. Adding universal health care would only increase that burden and make it more difficult for families to move forward in the world.",""
"37","control","conservative","against",100,100,2,2,2,4,6,7,7,1,6,6,5,7,3,"Vermont",1,"",27,NA,NA,NA,NA,NA,1,NA,1,1,NA,"Free use, and no competition will lead to increased wait times, rationing care, and less innovative research",""
"38","PT","liberal","against",90,90,5,5,5,5,2,3,5,1,5,4,3,6,4,"Maryland",1,"",32,NA,NA,NA,NA,NA,1,NA,1,NA,1,"UHC would be far too expensive and would nearly double the size of the federal government. It would also put tens of thousands of people out of work due to the size of the private insurance market.",""
"39","control","conservative","against",100,100,2,3,2,3,3,5,5,1,5,4,5,6,3,"Texas",1,"",32,NA,NA,NA,NA,NA,1,NA,1,1,1,"Expense.  /  /  / Universal healthcare is too expensive to implement. ",""
"40","PT","conservative","against",100,100,2,1,2,2,4,2,4,1,4,4,4,7,2,"Alabama",1,"",41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"They would say that it's too expensive, in that it's going to raise taxes.  They are having trouble making ends meet already, and it's going to lessen their take-home pay even more which will make their life more difficult.",""
"41","PT","conservative","against",100,100,1,2,1,2,6,6,6,1,7,3,5,7,2,"CA",1,"",34,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Universal Health Care would lead to increased taxes and reduce consumer choice. Governments rarely efficiently administer services better than private companies. A better solution would be to remove current government limitations and oversight of the healthcare markets to reduce price and increase access among private businesses providing health care/health insurance.",""
