article_id,article_id_recoded,journal_id,url_article,year,author,study,study_recoded,empirical,compare_group,type_group,name_group,scale,reflective,name_scale,type_scale,measure_scale,width_scale,width_scale_recoded,no_items,power,n_rep,n1_rep,n2_rep,n3_rep,n4_rep,n5_rep,reltot,rel1,rel2,rel3,rel4,rel5,mitest_rep,mimethod_rep,miresult_rep,milevel_rep,comments,id,open_data,open_scale,open_group,n_res,n1_res,n2_res,n3_res,n4_res,n5_res,mitest_step4,miresult_step4,milevel_step4,config_assumed,comments
9,9,0,https://doi.org/10.1371/journal.pone.0194123,2018,leitner,1,1,1,1,0,black actors and white actors,1,1,perception of overall positivity,1,,,,11,,143,,,,,,"0,9",,,,,,0,,,,These first 3 lines are all pre-analysis checks,27,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,"the article states ""Furthermore, we examined whether perceptions of overall positivity were equivalent for Black and White actors. Specifically, 143 separate participants from Mechanical Turk (86 males; Mage = 34.21, SDage = 10.67; 91 White, 52 non-White, 22 missing race data) viewed videos of each actor performing a scripted description of their professional qualifications. Participants then rated the degree to which the actor was intelligent, persuasive, confident, sincere, organized, attractive, likeable, articulate, comfortable, calm, and clear, which were averaged to yield a single measure of positivity α = .90."". None of the variables in the dataset seem to correspond to these variables, and the sample size is different as well. It seems that this is a different dataset, but we're not sure."
9,9,0,https://doi.org/10.1371/journal.pone.0194123,2018,leitner,1,1,1,1,1,low and high self-disclosure,1,1,negative affect - post study,0,2,7,7,12,,143,,,,,,"0,88",,,,,,0,,,,,28,1,1,1,155,75,80,,,,1,0,0,0,
9,9,0,https://doi.org/10.1371/journal.pone.0194123,2018,leitner,1,1,1,1,0,black actors and white actors,1,1,negative affect - post study,0,2,7,7,12,,143,,,,,,"0,88",,,,,,0,,,,,29,1,1,1,155,78,77,,,,1,0,0,0,
9,9,0,https://doi.org/10.1371/journal.pone.0194123,2018,leitner,2,2,1,1,1,low and high self-disclosure,1,1,negative affect - post study,0,2,7,7,12,,144,,,,,,"0,82",,,,,,0,,,,,33,1,1,1,144,72,72,,,,1,0,0,0,
9,9,0,https://doi.org/10.1371/journal.pone.0194123,2018,leitner,2,2,1,1,0,black actors and white actors,1,1,negative affect - post study,0,2,7,7,12,,144,,,,,,"0,82",,,,,,0,,,,,34,1,1,1,144,69,75,,,,1,0,0,0,
18,18,0,https://doi.org/10.1371/journal.pone.0192276,2018,bisallah,1,1,1,1,1,control and intervention,1,1,TB knowledge,1,0,2,2,24,0.8,226,113,113,,,,847,,,,,,0,,,,,67,0,NA,NA,NA,NA,NA,,,,0,NA,NA,NA,
18,18,0,https://doi.org/10.1371/journal.pone.0192276,2018,bisallah,1,1,1,1,1,control and intervention,1,1,TB attitude,1,1,5,5,9,0.8,226,113,113,,,,777,,,,,,0,,,,,68,0,NA,NA,NA,NA,NA,,,,0,NA,NA,NA,
18,18,0,https://doi.org/10.1371/journal.pone.0192276,2018,bisallah,1,1,1,1,1,baseline; immediate post intervention; three; six and nine months' post-intervention (5),1,1,TB knowledge,1,0,2,2,24,0.8,226,,,,,,847,,,,,,0,,,,Depression and anxiety appear to only be compared across control and experimental groups; not across time.,72,0,NA,NA,NA,NA,NA,,,,0,NA,NA,NA,
18,18,0,https://doi.org/10.1371/journal.pone.0192276,2018,bisallah,1,1,1,1,1,baseline; immediate post intervention; three; six and nine months' post-intervention (5),1,1,TB attitude,1,1,5,5,9,0.8,226,,,,,,777,,,,,,0,,,,Depression and anxiety appear to only be compared across control and experimental groups; not across time.,73,0,NA,NA,NA,NA,NA,,,,0,NA,NA,NA,
20,20,0,https://doi.org/10.1371/journal.pone.0195982,2018,chang,1,1,1,1,0,Condom users,1,1,Self-efficacy,1,1,5,5,6,,248,119,129,,,,"0,84",,,,,,0,,,,,78,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
56,56,0,https://doi.org/10.1371/journal.pone.0202466,2018,AlMahmoud,1,1,1,1,0,Gender,1,1,Consent topics,1,2,9,9,9,,108,84,24,,,,915,,,,,,0,,,,Not sure if it's existing or ad hoc measure. Some references exist but it is not clear whether the measure can be considered validated. Since we don't know; we coded all scales as NA.,135,1,1,1,107,83,24,,,,1,0,0,0,
56,56,0,https://doi.org/10.1371/journal.pone.0202466,2018,AlMahmoud,1,1,1,1,0,Gender,1,1,Complex; ethical; social and philosophical issues,1,2,9,9,10,,108,84,24,,,,934,,,,,,0,,,,Not sure if it's existing or ad hoc measure. Some references exist but it is not clear whether the measure can be considered validated. Since we don't know; we coded all scales as NA.,136,1,1,1,108,84,24,,,,1,0,0,0,
56,56,0,https://doi.org/10.1371/journal.pone.0202466,2018,AlMahmoud,1,1,1,1,0,Gender,1,1,Issues regarding care of vulnerable patiens,1,2,9,9,25,,108,84,24,,,,969,,,,,,0,,,,Not sure if it's existing or ad hoc measure. Some references exist but it is not clear whether the measure can be considered validated. Since we don't know; we coded all scales as NA.,137,1,1,1,108,84,24,,,,1,0,0,0,
74,74,0,https://doi.org/10.1371/journal.pone.0205352,2018,Cardoso,1,1,1,1,1,A: cow housing pasture and presence of shade; B: cow housing pasture and absence of shade; C: cow housing indoors and presence of shade; D: cow housing indoors and absence of shade,1,1,Attitude towards scenario,1,1,5,5,3,,581,136,148,145,152,,"0,95",,,,,,0,,,,,170,1,1,0,NA,NA,NA,NA,NA,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,boys: control and schools and families and schools,1,1,Learner measure: Caregiver child communication scores,1,,,,5,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",1633,436,583,614,,,655,,,,,,0,,,,,357,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,boys: control and schools and families and schools,1,1,Learner measure: Childhood trauma scores,1,1,3,3,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",1633,436,583,614,,,693,,,,,,0,,,,,358,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,boys: control and schools and families and schools,1,1,Learner measure: Bullying at school score,1,1,4,4,3,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",1633,436,583,614,,,688,,,,,,0,,,,,359,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,boys: control and schools and families and schools,1,1,Learner measure: Communication with a girlfriend or boyfriend,1,1,4,4,3,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",1633,436,583,614,,,713,,,,,,0,,,,,360,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,boys: control and schools and families and schools,1,1,Learner measure: Delinquency score,1,,,,5,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",1633,436,583,614,,,766,,,,,,0,,,,,361,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,boys: control and schools and families and schools,1,1,Learner measure: Gender attitudes score,1,,,,5,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",1633,436,583,614,,,595,,,,,,0,,,,,363,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,girls: control and schools and families and schools,1,1,Learner measure: Caregiver child communication scores,1,,,,5,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",2124,595,772,757,,,678,,,,,,0,,,,,365,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,girls: control and schools and families and schools,1,1,Learner measure: Childhood trauma scores,1,1,3,3,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",2124,595,772,757,,,628,,,,,,0,,,,,366,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,girls: control and schools and families and schools,1,1,Learner measure: Bullying at school score,1,1,4,4,3,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",2124,595,772,757,,,675,,,,,,0,,,,,367,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,girls: control and schools and families and schools,1,1,Learner measure: Communication with a girlfriend or boyfriend,1,1,4,4,3,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",2124,595,772,757,,,763,,,,,,0,,,,,368,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,girls: control and schools and families and schools,1,1,Learner measure: Delinquency score,1,,,,5,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",2124,595,772,757,,,684,,,,,,0,,,,,369,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,0,girls: control and schools and families and schools,1,1,Learner measure: Gender attitudes score,1,,,,5,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",2124,595,772,757,,,552,,,,,,0,,,,,371,0,NA,NA,NA,NA,NA,NA,,,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Caregiver child communication scores,1,1,5,5,5,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,83",,,,,,0,,,,,372,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Knowledge of the child,1,1,4,4,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,85",,,,,,0,,,,,373,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Stress score,0,1,5,5,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,87",,,,,,0,,,,"This scale has a reference to another article without ""adapted from"".",374,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Positive parenting score,1,1,4,4,29,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,91",,,,,,0,,,,,375,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Negative parenting score,0,1,4,4,7,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,73",,,,,,0,,,,"This scale has a reference to another article without ""adapted from"".",376,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Childhood trauma score,1,1,4,4,8,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,56",,,,,,0,,,,,377,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Individual gender attitude score,1,1,4,4,9,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,79",,,,,,0,,,,,378,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Social norms on gender,1,1,4,4,9,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,88",,,,,,0,,,,,379,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,male caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: General health,1,0,2,2,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",124,124,73,111,103,124,"0,89",,,,,,0,,,,,380,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Caregiver child communication scores,1,1,5,5,5,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,77",,,,,,0,,,,,382,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Knowledge of the child,1,1,4,4,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,87",,,,,,0,,,,,383,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Stress score,0,1,5,5,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,9",,,,,,0,,,,"This scale has a reference to another article without ""adapted from"".",384,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Positive parenting score,1,1,4,4,29,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,92",,,,,,0,,,,,385,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Negative parenting score,0,1,4,4,7,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,71",,,,,,0,,,,"This scale has a reference to another article without ""adapted from"".",386,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Childhood trauma score,1,1,4,4,8,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,66",,,,,,0,,,,,387,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
