t1ssmatrix,t1ssvocab,t2ssmatrix,t2ssvocab,t3ssmatrix,t3ssvocab,Gender
NA,NA,7,35,9,24,1
8,11,11,16,8,15,0
8,24,8,24,17,24,1
8,15,7,16,10,20,0
10,19,0,23,5,11,0
NA,NA,1,16,2,10,1
10,16,23,28,NA,NA,0
6,18,6,27,10,19,0
6,25,15,32,NA,NA,1
10,25,NA,NA,NA,NA,0
4,18,6,23,NA,NA,0
8,18,7,20,13,16,0
3,26,7,20,10,30,1
14,22,6,25,16,28,0
10,23,8,15,17,17,0
9,18,11,29,10,29,0
8,15,9,22,12,24,0
7,24,19,28,NA,NA,1
16,25,18,25,NA,NA,0
5,22,5,24,6,23,0
9,19,NA,NA,NA,NA,0
7,31,17,27,NA,NA,1
10,26,14,29,10,24,0
12,27,10,25,NA,NA,1
12,37,26,45,NA,NA,1
8,27,11,30,NA,NA,0
13,37,23,37,21,41,1
9,30,10,29,NA,NA,0
7,20,20,23,NA,NA,0
8,26,18,28,NA,NA,0
12,33,21,19,NA,NA,0
NA,NA,13,28,NA,NA,0
NA,NA,14,28,NA,NA,1
4,32,23,32,NA,NA,1
NA,NA,14,27,NA,NA,1
4,23,NA,NA,NA,NA,0
6,30,16,37,NA,NA,1
10,39,18,35,24,48,1
7,26,10,29,NA,NA,0
19,35,19,38,NA,NA,0
5,35,NA,NA,NA,NA,0
11,25,5,27,NA,NA,0
10,28,13,0,NA,NA,1
8,15,12,23,9,24,1
7,28,8,37,24,24,1
8,30,9,22,17,15,0
3,24,NA,NA,NA,NA,1
7,24,12,26,16,19,1
2,26,4,16,10,18,1
11,25,12,7,19,18,0
8,15,4,22,11,16,0
5,22,11,13,10,21,0
4,25,8,23,22,33,0
7,12,13,26,20,27,1
7,20,NA,NA,NA,NA,0
5,14,6,25,10,24,0
13,23,19,19,19,26,1
9,22,8,22,9,17,0
13,30,22,36,23,23,0
10,21,12,28,20,24,1
8,18,19,30,18,8,0
4,11,10,16,NA,NA,0
8,15,NA,NA,NA,NA,1
2,21,3,26,5,29,1
11,13,6,8,7,10,0
7,23,NA,NA,NA,NA,0
4,23,9,17,20,18,1
4,24,8,22,4,21,1
3,26,11,31,14,18,0
7,20,NA,NA,NA,NA,1
8,20,12,17,20,17,1
5,24,9,23,14,16,1
5,17,4,20,6,13,0
9,15,8,15,10,17,1
2,20,10,21,15,18,1
14,24,16,25,9,24,1
3,25,9,14,21,16,0
5,25,13,26,12,20,1
8,17,22,13,20,14,1
9,34,11,30,8,30,0
9,33,7,23,15,29,0
11,32,10,34,10,34,1
7,34,19,39,25,42,1
7,28,NA,NA,NA,NA,1
12,23,10,24,NA,NA,1
14,25,20,37,23,29,1
10,29,18,28,NA,NA,1
12,23,23,32,26,31,1
NA,NA,2,17,NA,NA,0
12,23,12,30,15,31,0
17,29,20,30,25,28,1
3,19,7,16,8,22,1
NA,NA,7,8,NA,NA,1
22,22,19,27,NA,NA,0
11,11,7,30,2,17,1
NA,NA,16,33,26,36,0
4,14,7,14,1,22,0
8,21,8,21,12,18,1
6,16,5,22,4,16,0
5,17,9,10,10,17,1
2,14,5,13,9,18,0
4,10,5,13,3,16,0
10,25,11,21,21,17,1
8,19,6,22,16,31,0
3,24,14,22,13,29,1
6,23,7,20,6,14,0
2,24,4,13,7,26,0
NA,NA,7,13,5,15,0
7,20,19,31,17,32,0
9,16,11,21,10,20,1
6,27,4,19,10,24,0
16,24,10,22,20,25,0
9,17,8,23,9,30,0
18,27,25,41,NA,NA,1
13,18,19,27,21,24,0
10,30,11,30,21,27,0
11,23,18,27,21,27,1
8,26,15,38,19,34,0
12,10,9,17,10,17,1
7,26,10,28,NA,NA,1
9,31,16,28,NA,NA,1
17,27,17,28,17,30,0
17,34,22,33,23,37,0
3,15,5,27,NA,NA,1
19,22,19,28,NA,NA,0
11,27,9,25,18,35,0
3,29,NA,NA,8,28,0
3,19,19,39,20,34,1
6,19,8,16,8,26,1
4,12,9,13,10,18,0
13,20,NA,NA,4,17,0
11,34,18,41,23,33,0
7,33,10,35,17,36,0
10,17,17,19,23,23,1
2,20,21,32,19,31,0
9,29,10,28,18,21,1
5,25,6,27,17,27,0
2,13,10,15,12,12,0
9,29,19,31,17,28,1
15,23,20,37,22,30,0
8,14,6,19,13,29,0
4,20,4,24,15,20,0
10,18,23,30,19,34,1
11,24,9,23,12,18,0
24,21,18,17,22,34,0
9,18,9,28,11,16,0
8,19,8,24,11,22,0
7,13,3,22,6,19,1
9,32,NA,NA,11,34,0
8,20,10,3,18,18,1
8,26,10,29,10,30,1
10,34,16,25,21,23,1
10,25,19,27,NA,NA,0
7,19,16,19,15,21,0
5,16,3,27,4,19,1
15,23,19,28,23,31,1
5,22,6,22,15,17,0
7,NA,13,16,10,16,0
17,18,26,25,23,23,1
4,13,3,9,5,12,1
20,29,23,34,23,41,0
14,32,22,34,24,35,0
6,28,17,29,16,30,0
14,25,5,24,9,17,0
9,NA,14,16,15,14,0
7,14,NA,NA,NA,NA,0
8,30,17,29,24,37,1
16,14,NA,NA,NA,NA,1
7,22,10,27,15,30,0
6,16,10,16,14,20,1
5,15,13,15,17,19,0
7,17,7,22,15,23,1
9,10,5,16,5,23,0
7,19,10,10,17,17,0
15,13,NA,NA,16,17,0
11,13,9,23,20,28,0
5,18,4,19,7,9,1
8,17,17,33,22,30,0
9,27,19,32,23,31,0
20,25,21,24,17,33,0
10,21,16,29,22,19,1
9,23,7,33,18,23,0
4,19,6,22,9,19,1
10,24,9,25,NA,NA,1
7,19,6,24,5,24,1
5,31,6,27,11,33,1
10,25,NA,NA,19,20,1
7,11,10,20,10,17,0
7,25,NA,NA,15,31,0
8,39,10,35,9,35,0
NA,NA,NA,NA,7,15,0
20,31,20,34,22,31,0
8,32,11,36,11,38,0
5,24,19,33,10,37,0
NA,NA,6,11,3,5,1
4,17,2,16,6,16,1
NA,NA,3,15,NA,NA,1
9,25,20,25,12,26,0
12,28,NA,NA,21,31,0
7,36,8,38,10,42,0
10,18,NA,NA,NA,NA,1
1,18,3,16,8,12,1
10,25,8,31,11,28,0
6,20,NA,NA,NA,NA,0
10,24,20,27,28,35,1
9,26,5,24,9,20,1
4,22,NA,NA,NA,NA,1
4,23,2,8,NA,NA,1
8,31,NA,NA,NA,NA,0
4,26,0,29,7,20,1
9,25,23,29,22,25,0
18,23,17,34,22,30,1
3,14,7,25,12,24,0
14,31,19,33,20,33,0
9,13,22,25,21,22,1
20,23,20,18,23,31,1
23,28,26,31,28,43,1
16,20,9,22,19,25,0
3,23,8,32,14,28,0
7,27,22,24,19,23,0
3,24,9,26,17,25,0
24,26,NA,NA,NA,NA,0
9,22,11,20,NA,NA,1
14,20,21,22,18,24,0
10,18,10,20,17,20,0
20,28,20,36,23,27,0
15,21,21,30,21,31,0
