"Data from: PONE-D-18-12899  --  Hot and bothered: Public attitudes towards heat stress and outdoor access for dairy cows
",,,,,,,,,,,,,,,,,,,
How much do you disagree/agree with the way these cows are being raised?,How inappropriate/appropriate do you consider the cow's living conditions to be?,Do you consider the way these cows are living to be unacceptable/acceptable?,Please explain your general opinion about the scenario you read.,If there were one thing you could change about this farm what would that be?,"How unlikely/likely do you
think it is that the cows described in the scenario are suffering?","In your opinion, how are these cows feeling?","How would you describe the welfare of the cows you read about?
(Considering that animal welfare includes health, feelings and naturalness)",How would you describe the cow's quality of life?,"How natural do you consider the environment
where these cows are kept?",How healthy would you say these cows are?,Age,Sex,Which of the following best describes the area where you have lived most of your life?,What is the highest level of school you have completed or the highest degree you have received?,Please indicate the answer that includes your entire household income in (previous year) before tax,"Majority
of cows on dairy production in United States are housed indoors","A dairy cow needs to
have a calf to keep producing milk","The
majority of cows and calves are separated from each other within the
first few hours of birth","Most
dairy calves have their horns removed when their are born, either
with a hot iron or with a caustic paste"
3,3,2,None,nothing,3,4,4,4,3,3,26,1,2,5,3,2,2,2,2
4,3,3,how cows are raised,health,3,3,4,3,3,4,22,1,2,5,7,2,1,2,1
4,4,4,None,Pigs,4,4,4,4,3,4,66,2,1,2,1,2,1,2,2
3,5,4,dont rember,nothing,4,3,4,4,3,3,32,2,3,2,2,2,1,2,2
4,5,2,,,4,2,5,2,4,4,22,2,2,3,3,1,2,2,2
5,5,5,"Seems like a nice, comfortable place for a cow to live.","Probably nothing, this seems pretty ideal for the scenario.",1,5,5,5,4,5,31,1,2,2,6,1,1,2,2
1,1,1,They should be well taken care of just like us.  Immoral.,Add fans and make it more tolerable for the cows.  Livable. Enjoyable. ,5,1,1,1,1,1,53,2,2,4,1,1,2,1,2
2,2,2,"They should be provided some place to cool off during the day, I don't think that they're being treated right.",Add trees to the pasture.,4,2,2,2,2,3,35,1,1,2,3,1,2,2,1
2,2,2,The cows deserve better living conditions.,Add a cooling system,4,2,2,2,2,2,32,2,2,6,4,2,2,2,2
2,2,2,"Even though they get enough food, they should be kept in comfortable conditions. I'm not asking for central AC, even just a few big fans would probably help.",Putting fans in the barn where the cows are.,3,3,3,2,3,3,44,2,2,6,4,2,1,2,1
4,3,4,I think it is acceptable as long as they are healthy,nothing,2,4,4,4,4,4,36,1,1,4,2,1,1,1,1
3,4,5,The cows have access to necessities and are kept in a comfortable climate.,Free access to outside,2,4,4,4,2,4,22,1,1,5,3,2,1,2,2
1,1,1,I don't like the way the cows are living. ,The cows should live just as they would in nature. ,5,1,1,1,1,1,34,1,2,2,4,2,1,2,2
2,2,2,I think it is a sad way to treat a creature.,better access to living conditions,4,2,2,2,3,2,27,2,2,3,3,2,1,2,2
4,4,4,It doesn't sound like the cows are being mistreated if they have fans blowing during hot days,have the fans be solar powered to save money,2,4,4,4,4,4,33,1,2,3,2,1,2,1,1
4,3,3,"It sounds good, ish, but I also am skeptical about some of the details.",nothing at this time.,1,4,4,4,2,4,30,2,1,7,1,2,2,2,2
4,5,5,Cows in the summer are kept in the shade as to avoid overheating.,Milking hours open til 7p,2,4,5,5,5,5,43,1,3,3,5,1,2,2,2
4,4,3,I think this sounds like a typical conditions cows face.,Possibly give them more options to keep cool.,3,3,4,4,4,4,29,1,2,5,4,1,2,1,2
4,4,4,"It seems ok, though I hope sometimes they go outside to graze.",I would like the cows to go outside to graze.,2,4,4,4,3,4,32,1,2,5,1,1,1,2,1
4,4,4,I think the Cows are being treated humanely.,The cows should be let out to free range.,2,4,4,4,4,4,29,1,1,5,1,2,1,2,1
1,1,1,I think it's cruel and awful. Cows are living things and shouldn't be living in a place where they can get heat stress on a hot day. It's torture.,That the cows had cooling during the hot weather.,5,2,1,1,3,2,29,2,3,3,2,2,2,2,2
2,2,2,It's horrible to keep the cows in those conditions.,More room for the cows.,4,2,2,2,2,2,38,2,3,4,5,2,1,2,2
2,2,2,"I believe that in order to reduce the heat stress on the cows, the farmer should plant trees in order to provide more shade to the grazing area. ","I would plant more trees to provide shade to the grazing area and/or to move the grazing area to a spot near water, where temperatures would be lower. ",4,2,3,3,3,2,27,1,2,6,3,1,2,2,1
5,5,5,"It is a cow, they live outside.",More cows.,1,5,5,5,5,5,60,1,3,3,4,2,2,2,1
3,2,2,It's regrettable but I'm still going to keep eating meat so I guess I'm just a hypocrite,I would know enough about it,3,2,2,2,1,2,30,1,2,2,2,1,1,2,2
4,4,4,I think it's not ideal but it's fine because they still get to roam around.,I would add trees for shade.,2,4,4,4,4,4,25,2,1,5,1,2,1,1,1
2,2,2,The cows should not be made to suffer when it is hot out.,I would plant some trees,4,2,2,2,3,3,34,1,2,6,4,1,1,1,1
5,5,5,"I think the cows are housed and treated very properly. They have free access to food, and are in a well ventilated barn that will keep them cool on hot days.",I would change that the cows would be free to move in and out of the barn as they pleased.,1,5,5,5,3,5,27,1,2,2,4,2,2,2,2
5,5,5,"From the limited information I was given, the cows are given what they need to be healthy and moderately happy.",I can't think of anything.,1,4,4,4,4,4,40,1,2,2,1,1,2,1,2
2,2,1,Trapping them in a pen in which they cannot escape the heat is inhumane.,That there was shade for them to escape the heat.,4,2,2,2,2,3,37,1,3,5,1,1,1,2,2
