PNo;Gender;Age;SuccessSlopeCond;InfPRIMARYControl;ThreeInARowCond;Canadian;DBC_IOC_HotMachine;DBC_IOC_Familiar;DBC_Sup_MagicNos;DBC_IOC_DiceWin;DBC_Sup_Ritual;DBC_Sup_Horoscope;DBC_Sup_PlayerVsMach;DBC_Sup_Fate;DBC_IOC_GamblingSystem;DBC_IOC_HeadsTails;DBC_Sup_ChanceGame;DBC_IOC_Secrets;DBC_Sup_LuckyPen;DBC_Sup_LuckyClothes;DBC_IOC_LotteryNos;DBC_IOC_Sportsperson;DBC_IOC_BornLucky;DBC_Sup_Superstitious;DBC_IOC_LongLosing;DBC_IOC_MachineSystem;DBC_Sup_LuckyCharm;DBC_Sup_LotterySystem;DBC_Sup;DBC_IOC;DBC_Total;SoccerInterest;QAccListSkill;QAccListLuckyMoments;QAccListPlayers;QAccListStrategy;QAccListLuckyPlay;QAccListLuck;QAccListLuckyPerson;QAccListSoccerKnowl;QAccListBET;QAccListCHANCE;QAccListPractice;QAccListComputerGames;QAccListDeserve;QAccListGoalieMoves;QAccListKickDirn;QStrategyPresent;QStrategyDescr;Q100RoundsGoal;QChancesOfWinning;QChancesOfWinning_Odds;QHowManySingle;QHowManySingleCaptionType;QHowManySingleWins;QOutcomeSeq;QOutcomeSeqOther
1;1;21;End;-0.156375657;Present;1;Disagree;Neutral;Agree;Disagree;Neutral;Disagree;Agree;Agree;Neutral;Agree;Agree;Agree;Agree;Agree;Agree;Neutral;Strongly agree;Neutral;Neutral;Agree;Agree;Agree;40;37;77;Mildly;0;3;5;0;5;0;0;0;7;10;3;5;0;0;5;No;                                                                                                                                                                                                        ;20;5;20;25;goals;25;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
2;0;21;Beginning;0.28236965;Present;1;Disagree;Neutral;Disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Agree;Disagree;Neutral;Neutral;Agree;Agree;Disagree;Neutral;Agree;Neutral;Disagree;Agree;Agree;Agree;31;31;62;Mildly;2;2;2;8;5;5;8;2;0;1;2;7;5;0;0;Yes;Keep staying on 1 in 2 goals bet with random kicking direction                                                                                                                                          ;30;4;25;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
3;1;20;Even;1.044595635;Present;0;Neutral;Neutral;Agree;Neutral;Disagree;Neutral;Disagree;Disagree;Neutral;Neutral;Disagree;Agree;Disagree;Agree;Neutral;Neutral;Agree;Disagree;Disagree;Neutral;Disagree;Agree;29;34;63;Mildly;7;2;8;5;5;5;5;2;7;9;5;2;7;2;7;No;                                                                                                                                                                                                        ;20;6;16.66666667;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
4;0;26;U-shaped;0.335645697;Present;4;Agree;Strongly agree;Strongly disagree;Strongly agree;Agree;Neutral;Disagree;Agree;Strongly agree;Neutral;Strongly agree;Agree;Agree;Neutral;Disagree;Agree;Strongly agree;Disagree;Neutral;Neutral;Strongly disagree;Disagree;31;43;74;Not at all;5;0;2;1;0;0;0;2;8;3;5;5;0;0;6;No;                                                                                                                                                                                                        ;10;10;10;10;goals;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
5;1;22;End;0.291385062;Not present;3;Agree;Neutral;Disagree;Agree;Disagree;Strongly disagree;Neutral;Disagree;Neutral;Disagree;Neutral;Neutral;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;23;30;53;Mildly;0;0;6;7;6;0;0;2;6;0;7;0;0;0;1;Yes;A certain player could score a goal in the left hand of the goals every second shot                                                                                                                     ;15;10;10;80;misses;20;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
6;1;22;Beginning;-0.959259632;Not present;0;Disagree;Agree;Disagree;Disagree;Strongly disagree;Strongly disagree;Neutral;Neutral;Disagree;Neutral;Neutral;Disagree;Disagree;Disagree;Neutral;Agree;Agree;Neutral;Disagree;Neutral;Strongly disagree;Disagree;23;31;54;Strongly;0;5;0;0;0;0;0;0;10;5;0;0;0;0;5;No;                                                                                                                                                                                                        ;0;10;10;85;misses;15;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
7;0;20;Even;0.980938785;Not present;3;Agree;Neutral;Disagree;Agree;Disagree;Disagree;Agree;Neutral;Neutral;Disagree;Agree;Neutral;Disagree;Disagree;Neutral;Disagree;Disagree;Neutral;Neutral;Agree;Neutral;Agree;31;33;64;Not at all;7;0;0;1;0;0;2;5;6;9;8;7;0;1;1;No;                                                                                                                                                                                                        ;30;7;14.28571429;70;misses;30;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
8;0;41;U-shaped;-1.025383313;Not present;0;Neutral;Neutral;Strongly disagree;Neutral;Strongly disagree;Disagree;Disagree;Neutral;Disagree;Neutral;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Strongly disagree;Strongly disagree;20;28;48;Strongly;0;0;1;0;0;0;0;0;2;9;0;0;0;0;2;No;                                                                                                                                                                                                        ;12;8;12.5;12;goals;12;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
9;1;22;End;0.050433509;Present;0;Neutral;Neutral;Agree;Agree;Disagree;Disagree;Agree;Agree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;29;28;57;Strongly;2;6;6;0;2;0;0;5;6;10;2;2;7;1;10;No;                                                                                                                                                                                                        ;10;12;8.333333333;10;goals;10;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
10;0;21;Beginning;0.351936901;Present;1;Agree;Agree;Agree;Agree;Agree;Strongly disagree;Disagree;Agree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Neutral;Disagree;Disagree;Disagree;Disagree;28;31;59;Very little;7;3;4;8;3;3;8;3;4;10;0;8;10;0;3;Yes;i wanna prove psychology department did not fund enough money to their students, so i have bet some options that is a little chance to win, lot of credit get if win...Turn out, it was proven ^^       ;15;15;6.666666667;15;goals;15;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
11;1;22;Even;-0.979138511;Present;0;Neutral;Agree;Agree;Disagree;Neutral;Agree;Disagree;Agree;Agree;Agree;Neutral;Disagree;Strongly agree;Strongly agree;Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Agree;42;37;79;Strongly;0;0;0;0;0;0;0;0;5;5;0;0;0;0;5;No;                                                                                                                                                                                                        ;12;10;10;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
12;0;22;U-shaped;0.956319602;Present;2;Disagree;Disagree;Neutral;Disagree;Agree;Neutral;Agree;Agree;Agree;Agree;Agree;Neutral;Disagree;Disagree;Neutral;Agree;Neutral;Neutral;Agree;Disagree;Disagree;Disagree;33;33;66;Mildly;6;2;6;6;2;2;2;2;9;7;7;0;5;2;9;Yes;Keep rotating the players and some players appear to be good at scoring by kicking in some directions.                                                                                                  ;60;3;33.33333333;50;misses;50;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
13;0;26;U-shaped;-1.02379391;Present;5;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Neutral;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Agree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;19;19;38;Mildly;0;0;0;0;0;0;0;0;0;9;0;0;0;0;3;No;                                                                                                                                                                                                        ;8;15;6.666666667;8;goals;8;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
14;1;39;End;-0.731932326;Not present;3;Disagree;Disagree;Disagree;Agree;Disagree;Agree;Agree;Agree;Agree;Agree;Disagree;Disagree;Disagree;Disagree;Agree;Disagree;Agree;Neutral;Disagree;Disagree;Disagree;Agree;31;32;63;Mildly;0;0;0;5;0;0;0;0;0;10;0;0;0;5;0;Yes;I thought if i bet low for a few kicks the next i would bet higher and get a goal, but i think this was all just luck.                                                                                  ;10;5;20;70;misses;30;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
15;0;18;Beginning;-0.96157902;Not present;1;Disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;17;17;34;Mildly;0;0;3;0;0;0;0;0;0;8;0;0;0;0;3;No;                                                                                                                                                                                                        ;25;4;25;45;goals;45;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
16;1;18;Even;-0.238077761;Not present;0;Disagree;Disagree;Agree;Agree;Disagree;Strongly disagree;Disagree;Agree;Agree;Neutral;Disagree;Agree;Disagree;Disagree;Agree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;27;31;58;Mildly;1;6;1;3;1;6;1;1;6;10;1;1;1;1;5;No;                                                                                                                                                                                                        ;45;7;14.28571429;10;goals;10;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
17;0;18;U-shaped;-0.145843042;Not present;2;Agree;Neutral;Agree;Agree;Neutral;Agree;Neutral;Disagree;Strongly agree;Agree;Neutral;Agree;Disagree;Agree;Neutral;Disagree;Strongly agree;Disagree;Disagree;Neutral;Strongly agree;Neutral;35;39;74;Mildly;0;5;5;3;0;0;5;0;10;5;2;5;0;0;10;No;                                                                                                                                                                                                        ;10;10;10;15;goals;15;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
18;0;30;End;-0.950273924;Present;0;Agree;Neutral;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Disagree;Agree;Disagree;Agree;Strongly disagree;Strongly disagree;14;31;45;Not at all;0;0;0;5;0;0;5;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;20;5;20;85;misses;15;Other (please specify);                                                                                                                                                                                                        
19;0;18;Beginning;-0.300545041;Present;2;Neutral;Neutral;Disagree;Agree;Strongly disagree;Strongly disagree;Agree;Disagree;Neutral;Agree;Neutral;Agree;Disagree;Disagree;Neutral;Strongly agree;Agree;Disagree;Disagree;Agree;Disagree;Disagree;23;39;62;Mildly;3;0;5;0;3;0;3;3;5;6;0;3;5;0;8;Yes;keep kicking the same direction, regardless of misses                                                                                                                                                   ;26;5;20;18;goals;18;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
20;1;36;Even;-0.170025266;Present;0;Disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Disagree;Agree;Disagree;Neutral;Disagree;Disagree;Disagree;Neutral;Agree;Agree;Disagree;Disagree;Strongly disagree;Agree;24;27;51;Mildly;1;1;8;1;1;1;1;2;3;9;2;2;0;1;5;Yes;chose beckam?                                                                                                                                                                                           ;25;9;11.11111111;20;misses;80;Other (please specify);                                                                                                                                                                                                        
22;1;18;End;1.536117208;Not present;4;Agree;Agree;Disagree;Disagree;Agree;Neutral;Agree;Agree;Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Agree;Disagree;Agree;Disagree;Agree;Disagree;Disagree;35;38;73;Mildly;3;4;3;10;0;4;0;2;4;8;9;5;0;7;6;No;                                                                                                                                                                                                        ;10;10;10;80;misses;20;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
23;0;39;Beginning;-0.779345866;Not present;6;Agree;Agree;Agree;Neutral;Disagree;Strongly disagree;Neutral;Strongly disagree;Disagree;Strongly agree;Strongly agree;Neutral;Disagree;Disagree;Neutral;Neutral;Disagree;Strongly disagree;Disagree;Neutral;Disagree;Disagree;25;34;59;Not at all;0;0;0;0;0;0;0;5;5;10;0;0;0;0;5;No;                                                                                                                                                                                                        ;60;3;33.33333333;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
24;0;18;Even;-0.763122771;Not present;1;Disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Agree;Neutral;Disagree;Strongly disagree;Neutral;Disagree;Agree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Neutral;Disagree;Strongly disagree;Neutral;24;19;43;Strongly;2;0;0;8;0;1;2;0;8;10;0;0;1;0;1;No;                                                                                                                                                                                                        ;20;8;12.5;60;misses;40;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
25;0;29;U-shaped;-0.956762361;Not present;4;Strongly disagree;Neutral;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;17;19;36;Not at all;0;3;3;3;0;0;0;0;7;10;0;0;5;0;0;No;                                                                                                                                                                                                        ;20;5;20;80;misses;20;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
26;0;18;End;0.182745632;Present;4;Disagree;Neutral;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Disagree;Agree;Neutral;Neutral;Disagree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Agree;Agree;Neutral;Agree;Disagree;Disagree;21;32;53;Not at all;2;2;3;7;2;5;2;2;6;7;2;2;2;2;6;No;                                                                                                                                                                                                        ;20;5;20;20;goals;20;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
27;0;19;Even;0.962533109;Present;2;Strongly disagree;Agree;Neutral;Strongly agree;Agree;Strongly disagree;Strongly disagree;Disagree;Neutral;Strongly agree;Strongly disagree;Agree;Strongly disagree;Neutral;Agree;Agree;Disagree;Agree;Disagree;Agree;Strongly disagree;Agree;25;38;63;Not at all;5;7;6;7;3;2;2;1;6;10;4;7;5;5;8;Yes;choose the same shot                                                                                                                                                                                    ;20;5;20;15;goals;15;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
28;0;18;U-shaped;-0.98151176;Present;0;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Agree;Strongly disagree;Agree;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;26;23;49;Strongly;0;0;0;7;0;0;0;0;0;10;0;0;0;0;0;Yes;go for the same spot over and over and eventually it would go in                                                                                                                                        ;2;10;10;5;goals;5;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
29;1;21;Even;-0.409236992;Present;1;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Neutral;Disagree;Strongly disagree;Agree;Neutral;Disagree;Neutral;Agree;Agree;Agree;Agree;Disagree;Disagree;Disagree;Disagree;Agree;Agree;28;30;58;Very little;0;0;0;0;0;0;0;5;0;9;0;0;0;5;9;No;                                                                                                                                                                                                        ;20;8;12.5;70;misses;30;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
30;0;21;End;-0.862210957;Not present;2;Disagree;Disagree;Agree;Strongly disagree;Disagree;Strongly disagree;Agree;Agree;Neutral;Strongly disagree;Disagree;Disagree;Neutral;Agree;Disagree;Strongly disagree;Disagree;Neutral;Strongly disagree;Neutral;Neutral;Strongly disagree;31;20;51;Mildly;0;0;5;8;0;0;0;0;5;5;0;0;0;0;0;No;                                                                                                                                                                                                        ;18;6;16.66666667;10;goals;10;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
31;0;19;Beginning;-0.79963575;Not present;0;Disagree;Disagree;Agree;Neutral;Disagree;Disagree;Agree;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Agree;Disagree;Disagree;Agree;Agree;32;24;56;Very little;1;1;2;1;4;1;0;0;1;10;0;0;7;0;2;No;                                                                                                                                                                                                        ;10;10;10;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
