ID,Unstandardized_Variables,Anthropomorphism,TheoryofIntelligence,Interaction_ConxTOI,PerceivedCostofHelpSeeking,Total_NumberofCorrectAnswer,Gender,Age,Income,Education,Ethnicity,White,Hispanic,Black,NativeAmerican,Asian,Other,StandardizedVariables,ZAnthro,ZTOI,STD_Interaction_ConxTOI,ZCost,ZTotal_CAnswer,ZGender,ZAge,ZIncome,ZEducation,ZWhite,ZHispanic,ZBlack,ZNativeAmerican,ZAsian,ZOther,XXXXXRawDataXXXXX,CorrectQ1,CorrectQ2,CorrectQ3,CorrectQ4,CorrectQ5,CorrectQ6,CorrectQ7,CorrectQ8,CorrectQ9,CorrectQ10,CorrectQ11,CorrectQ12,CorrectQ13,CorrectQ14,CorrectQ15,CorrectQ16
113, ,0,5,0,2,15,0,64,2,3,6,0,0,0,0,0,1, ,-.992003527129922,1.33230942405116,-1.32165564788719,-.625812202826182,1.26618011408982,-1.01345287212464,2.1810145958316,-.332364895204962,.49042093811722,-2.07837275479366,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,13.6016670887646, ,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1, ,0,3.5,0,4,8,1,26,2,3,1,1,0,0,0,0,0, ,-.992003527129922,.179319702658641,-.177885777521261,1.11221079614629,-1.10157669925815,.981449097215435,-1.15338508531714,-.332364895204962,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0
2, ,1,2.625,2.625,2.5,10,1,43,3,3,1,1,0,0,0,0,0, ,1.00267023172272,-.49325763482033,-.4945747470043,-.191306453083063,-.4250747525873,.981449097215435,.33832003519677,.434946652984274,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1
3, ,0,1,0,3.166666667,12,0,37,2,2,1,1,0,0,0,0,0, ,-.992003527129922,-1.74232983299556,1.72839733975529,.3880345468641,.251427194083549,-1.01345287212464,-.18816412498461,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0
4, ,0,2,0,2.666666667,11,0,40,5,2,1,1,0,0,0,0,0, ,-.992003527129922,-.973670018733881,.965884092844667,-.0464712028790193,-.0868237792518759,-1.01345287212464,.0750779551060801,1.96956974936275,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0
5, ,1,4,4,1.5,12,0,45,6,4,1,1,0,0,0,0,0, ,1.00267023172272,.563649609789482,.56515468485804,-1.0603179525693,.251427194083549,-1.01345287212464,.51381475525723,2.73688129755198,1.94611483379849,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
6, ,1,3.75,3.75,4.833333333,8,0,33,2,3,1,1,0,0,0,0,0, ,1.00267023172272,.371484656224062,.372476606337614,1.83638704542849,-1.10157669925815,-1.01345287212464,-.53915356510553,-.332364895204962,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1
7, ,1,1,1,1.833333333,12,0,43,1,3,1,1,0,0,0,0,0, ,1.00267023172272,-1.74232983299556,-1.74698225738707,-.770647453030225,.251427194083549,-1.01345287212464,.33832003519677,-1.0996764433942,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1
8, ,0,3,0,2.666666667,12,0,37,4,2,1,1,0,0,0,0,0, ,-.992003527129922,-.205010204472199,.203370845934048,-.0464712028790193,.251427194083549,-1.01345287212464,-.18816412498461,1.20225820117351,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1
9, ,1,3,3,2,12,1,36,1,2,1,1,0,0,0,0,0, ,1.00267023172272,-.205010204472199,-.205557629223662,-.625812202826182,.251427194083549,.981449097215435,-.27591148501484,-1.0996764433942,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1
