source,precompshenav,condinsp,godcontent,DBIG_1,DBIG_2,DBIG_3,DBIG_4,DBIG_5,DBIG_6,DBIG_7,REI_3,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,REI_11,REI_12,REI_13,REI_14,REI_15,REI_16,REI_17,REI_18,REI_19,REI_20,REI_21,REI_22,REI_23,REI_24,REI_25,REI_26,REI_27,REI_28,REI_29,REI_30,REI_31,REI_32,REI_34,contrast,contrast2,compbigd,comprati,compintu,Zprecompshenav,Zcomprati,Zcompintu,int1,int2,int3,int4,int5,int6,hirati,lorati,hiint4,loint4
2,6,2,0,1,2,1,3,3,4,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,4,3,4,3,4,3,4,4,4,4,3,3,3,4,3,4,2,-1,1,2.28571428571429,5,3.5,.156730741552798,.121655567043729,-.00716508820547745,-.156730741552798,.156730741552798,.00716508820547745,-.121655567043729,-.00716508820547745,.121655567043729,-.878344432956271,1.12165556704373,.878344432956271,-1.12165556704373
2,8,3,0,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1,-1,3, , ,.847012943710864, , ,-.847012943710864,-.847012943710864, , , , , , , , 
2,5.5,3,0,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,2,3,4,3,2,4,2,2,4,2,2,2,4,3,2,2,2,3,4,-1,-1,3.14285714285714,4.47368421052632,2.58333333333333,-.0158398089867185,-.758405981783254,-1.6150108815141,.0158398089867185,.0158398089867185,1.6150108815141,.758405981783254,1.6150108815141,.758405981783254,-1.75840598178325,.241594018216746,1.75840598178325,-.241594018216746
2,1,3,0,1,1,2,1,2,2,3,4,1,2,1,2,4,1,4,1,4,1,5,3,2,4,4,2,3,2,2,2,3,3,3,3,2,4,2,4,2,2,-1,-1,1.71428571428571,5.52631578947368,2.75,-1.56897476384237,1.00171711587071,-1.32267528273071,1.56897476384237,1.56897476384237,1.32267528273071,-1.00171711587071,1.32267528273071,-1.00171711587071,.0017171158707121,2.00171711587071,-.0017171158707121,-2.00171711587071
2,1,2,0,1,1,1,1,2,5,5,4,1,1,1,1,5,1,1,1,4,1,4,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4,5,4,1,1,-1,1,2.28571428571429,6.26315789473684,4.08333333333333,-1.56897476384237,2.23380328422849,1.01600950753637,1.56897476384237,-1.56897476384237,-1.01600950753637,-2.23380328422849,1.01600950753637,2.23380328422849,1.23380328422849,3.23380328422849,-1.23380328422849,-3.23380328422849
2,10,1,0,3,4,4,5,5,1,5,4,2,1,2,1,4,2,2,1,4,1,5,1,4,4,1,2,5,5,5,5,4,5,5,4,2,5,2,5,1,1,2,0,3.85714285714286,5.84210526315789,4.33333333333333,1.53729514586893,1.5297540451669,1.45451290571145,3.07459029173786,0,2.9090258114229,3.0595080903338,0,0,.529754045166902,2.5297540451669,1.0595080903338,5.0595080903338
2,9,1,0,5,5,2,1,1,1,1,4,4,3,2,3,4,1,1,1,5,1,4,1,3,3,3,2,4,2,4,4,4,4,4,3,3,1,4,5,5,3,2,0,2.28571428571429,5.21052631578947,3.5,1.1921540447899,.473680186574522,-.00716508820547745,2.38430808957979,0,-.0143301764109549,.947360373149044,0,0,-.526319813425478,1.47368018657452,-1.05263962685096,2.94736037314904
2,10,2,0,5,5,5,5,5,5,5,4,2,2,2,2,4,2,2,2,4,4,4,3,2,4,1,2,4,4,4,4,4,4,5,4,2,4,3,5,2,2,-1,1,5,5.36842105263158,3.91666666666667,1.53729514586893,.737698651222617,.723673908752987,-1.53729514586893,1.53729514586893,-.723673908752987,-.737698651222617,.723673908752987,.737698651222617,-.262301348777383,1.73769865122262,.262301348777383,-1.73769865122262
2,5.5,1,0,2,2,2,2,2,2,2,3,1,2,5,2,1,4,4,4,1,2,1,2,4,3,2,4,2,3,2,4,5,2,2,3,2,4,4,3,2,2,2,0,2,4.26315789473684,3,-.0158398089867185,-1.11043060131405,-.884171884555635,-.031679617973437,0,-1.76834376911127,-2.22086120262809,0,0,-2.11043060131405,-.110430601314047,-4.22086120262809,-.220861202628093
2,5,3,0,1,2,2,3,3,3,2,3,3,4,1,1,3,2,3,1,4,3,4,2,2,3,2,4,3,4,4,3,4,4,4,4,4,3,3,4,2,2,-1,-1,2.28571428571429,5.10526315789474,3.66666666666667,-.188410359526235,.297667876809126,.285170510577908,.188410359526235,.188410359526235,-.285170510577908,-.297667876809126,-.285170510577908,-.297667876809126,-.702332123190874,1.29766787680913,.702332123190874,-1.29766787680913
