condition,inclugod,AmbigIntol_1,AmbigIntol_2,AmbigIntol_3,AmbigIntol_4,AmbigIntol_5,AmbigIntol_6,AmbigIntol_7,AmbigIntol_8,AmbigIntol_9,Pekala1r,Pekala2,Pekala3,Pekala4r,Q332,Q333,Q334,Q335,soco1W,soco2W,soco3W,pein1W,soco4W,pein2W,soco1A,soco2A,soco3A,pein1A,soco4A,pein2A,Shenav_1,Shenav_2,MCWrtInspW_1,MCWrtInspW_2,MCWrtToDoW_1,MCWrtToDoW_2,MCWrtBySoW_1,MCWrtBySoW_2,MCWrtPanaW_1,MCWrtPanaW_2,MCWrtPanaW_3,MCWrtPanaW_4,MCWrtPanaW_5,MCWrtPanaW_6,MCWrtPanaW_7,MCWrtPanaW_8,MCWrtInspA_1,MCWrtInspA_2,MCWrtToDoA_1,MCWrtToDoA_2,MCWrtBySoA_1,MCWrtBySoA_2,MCWrtPanaA_1,MCWrtPanaA_2,MCWrtPanaA_3,MCWrtPanaA_4,MCWrtPanaA_5,MCWrtPanaA_6,MCWrtPanaA_7,MCWrtPanaA_8,AC123,compamin,comppeka,compsoco,comppein,compshen,compmcwrtinp,compmcwrtto,compmcwrtby,compmcwrtpo,compmcwrtawe,cond1,cond2,cond3,passmc,filter_$
1,0,5,5,5,4,5,5,5,5,5,5,6,6,2, , , , ,7,7,7,7,7,7, , , , , , ,1,1,5,6,6,6,5,6,6,6,7,1,1,1,6,1, , , , , , , , , , , , , , ,1,4.88888888888889,5.25,7,7,1,5.5,6,5.5,6.57142857142857,7,1,0,0,1,1
1,0,6,6,6,5,5,5,6,6,6,7,4,4,5, , , , ,1,1,1,4,1,4, , , , , , ,1,1,4,6,4,5,5,3,1,2,4,1,6,1,4,1, , , , , , , , , , , , , , ,1,5.66666666666667,3,1,4,1,5,4.5,4,4.28571428571429,4,1,0,0,1,1
1,0,2,2,1,4,4,3,2,3,6,1,7,7,1, , , , ,5,3,7,7,3,7, , , , , , ,1,1,7,7,7,7,7,7,7,7,7,3,4,1,7,1, , , , , , , , , , , , , , ,1,3,7,4.5,7,1,7,7,7,6.28571428571429,7,1,0,0,1,1
1,0,3,1,2,4,1,2,6,3,6,1,5,7,7, , , , ,2,1,7,7,5,3, , , , , , ,1,1,6,1,1,5,4,4,6,2,5,1,4,1,6,1, , , , , , , , , , , , , , ,1,3.11111111111111,5,3.75,5,1,3.5,3,4,5.57142857142857,5,1,0,0,1,1
1,0,3,4,6,3,4,5,4,5,5,7,1,1,7, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.33333333333333,1, , ,1, , , , , ,1,0,0,0,0
1,0,3,3,2,4,4,3,3,2,6,6,4,4,7, , , , ,4,7,4,4,4,4, , , , , , ,1,1,7,7,7,7,4,4,6,6,1,1,1,1,4,1, , , , , , , , , , , , , , ,1,3.33333333333333,2.75,4.75,4,1,7,7,4,6.28571428571429,1,1,0,0,1,1
1,0,6,6,5,5,6,4,2,6,6,6,7,7,5, , , , ,6,5,7,7,7,7, , , , , , ,1,1,5,5,7,7,4,5,7,6,5,1,1,1,7,1, , , , , , , , , , , , , , ,1,5.11111111111111,4.75,6.25,7,1,5,7,4.5,6.85714285714286,5,1,0,0,1,1
1,0,3,5,3,5,4,3,6,2,5,2,7,7,4, , , , ,3,4,2,3,4,4, , , , , , ,1,1,5,5,4,4,3,5,6,6,7,1,1,1,7,1, , , , , , , , , , , , , , ,1,4,6,3.25,3.5,1,5,4,4,6.71428571428571,7,1,0,0,1,1
1,0,6,2,4,4,5,4,5,6,6,6,7,6,1, , , , ,6,6,7,2,7,3, , , , , , ,1,1,6,6,6,7,7,2,1,1,7,4,7,4,7,5, , , , , , , , , , , , , , ,1,4.66666666666667,5.5,6.5,2.5,1,6,6.5,4.5,3,7,1,0,0,1,1
1,0,5,2,2,5,3,4,2,2,6,4,6,6,1, , , , ,4,5,5,2,6,2, , , , , , ,1,1,7,6,7,7,6,5,7,7,7,1,5,1,7,1, , , , , , , , , , , , , , ,1,3.44444444444444,5.75,5,2,1,6.5,7,5.5,6.42857142857143,7,1,0,0,1,1
