IV_video,gender,age,enjoyable,good,feelgood,moving,inspired,skeptical_reversed,skeptical,awe_reverence,sacred_meaning,insight,spiritual,aroundme,humanrace,connectedpart,beyondme,godexists,godprovidence,religion,familiarvideo,likesinger,video_inspiration,video_enjoyment,christian_buddist_noreligion,IV_video_dummycoding,spiritualtranscendence,connectedness,trans,connect,belief,video
1,1,56,2,7,5,7,2,3,5,3,3,1,3,4,3,4,2,1,1,2,2,3,4.5,4.25,1,1,2.5,3.25,2.5,3.25,1,1
1,2,54,7,7,7,7,7,7,1,7,6,6,6,4,4,5,6,6,6,1,1,1,7,7,1,1,6.25,4.75,6.25,4.75,6,1
1,1,37,5,5,6,6,4,5,3,5,5,4,2,5,5,4,4,5,5,1,2,3,5,5.25,1,1,4,4.5,4,4.5,5,1
1,1,57,2,6,7,7,7,7,1,6,6,6,7,6,6,6,7,6,6,1,1,1,7,5.5,1,1,6.25,6.25,6.25,6.25,6,1
1,2,54,7,7,7,7,7,7,1,7,7,7,7,6,6,6,6,7,7,1,1,1,7,7,1,1,7,6,7,6,7,1
1,1,50,2,2,2,6,6,6,2,6,5,5,6,6,6,6,6,7,7,1,1,2,6,3,1,1,5.5,6,5.5,6,7,1
1,2,55,4,6,5,7,7,7,1,6,7,6,7,4,6,5,6,6,6,2,1,1,7,5.5,1,1,6.5,5.25,6.5,5.25,6,1
1,1,50,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3,1,2,4,4,3.75,1,1,3.75,3.75,3.75,3.75,3,1
1,1,41,5,6,6,7,6,6,2,5,6,6,6,5,6,6,6,7,7,1,1,2,6.5,5.75,1,1,5.75,5.75,5.75,5.75,7,1
1,2,44,6,7,7,7,6,7,1,5,5,5,5,4,4,4,4,3,3,2,1,2,6.5,6.75,1,1,5,4,5,4,3,1
1,2,44,5,6,6,7,5,6,2,6,4,4,6,4,5,4,4,3,3,1,2,2,6,5.75,1,1,5,4.25,5,4.25,3,1
1,2,55,4,6,6,6,5,3,5,4,4,5,4,4,4,4,4,4,4,1,2,3,5.5,4.75,1,1,4.25,4,4.25,4,4,1
1,1,21,5,7,6,7,4,6,2,6,6,5,4,4,4,4,4,3,2,1,2,1,5.5,6,1,1,5.25,4,5.25,4,3,1
1,1,56,6,7,6,7,6,5,3,4,5,5,6,5,5,5,5,4,4,2,1,2,6.5,6,1,1,5,5,5,5,4,1
1,1,53,6,6,6,6,6,6,2,6,6,6,6,5,5,6,6,5,5,1,2,2,6,6,1,1,6,5.5,6,5.5,5,1
1,1,37,2,4,4,5,4,3,5,5,5,3,3,2,2,2,2,4,4,1,2,4,4.5,3.25,1,1,4,2,4,2,4,1
1,2,44,5,5,5,6,4,2,6,5,4,4,4,4,4,4,4,3,3,1,2,2,5,4.25,1,1,4.25,4,4.25,4,3,1
1,2,53,7,7,7,7,5,7,1,7,7,4,7,6,6,4,5,6,5,2,2,1,6,7,1,1,6.25,5.25,6.25,5.25,6,1
1,2,45,4,5,4,6,5,4,4,4,4,4,4,4,5,5,4,4,4,1,1,4,5.5,4.25,1,1,4,4.5,4,4.5,4,1
1,2,39,4,5,5,6,5,3,5,5,5,4,4,4,5,3,3,3,3,2,2,3,5.5,4.25,1,1,4.5,3.75,4.5,3.75,3,1
1,2,52,4,5,6,6,5,5,3,5,5,4,4,5,5,4,4,4,4,1,1,3,5.5,5,1,1,4.5,4.5,4.5,4.5,4,1
1,2,57,3,4,4,7,7,4,4,6,6,5,4,5,5,4,4,4,4,3,2,2,7,3.75,2,1,5.25,4.5,5.25,4.5,4,1
1,1,54,4,6,4,7,4,3,5,6,4,4,4,4,4,4,4,4,4,3,2,2,5.5,4.25,2,1,4.5,4,4.5,4,4,1
1,2,53,5,7,6,7,6,7,1,6,6,7,7,5,5,5,5,6,5,3,1,1,6.5,6.25,2,1,6.5,5,6.5,5,6,1
1,2,40,3,5,3,6,5,5,3,5,5,5,5,4,4,4,4,4,4,3,2,3,5.5,4,2,1,5,4,5,4,4,1
1,1,39,6,6,6,7,5,2,6,5,5,6,6,6,6,6,6,4,4,3,1,3,6,5,2,1,5.5,6,5.5,6,4,1
1,1,52,4,6,6,7,6,5,3,5,5,5,6,5,5,5,6,5,5,3,1,2,6.5,5.25,2,1,5.25,5.25,5.25,5.25,5,1
1,2,56,6,7,7,7,7,7,1,5,5,5,5,7,7,6,7,7,7,5,2,1,7,6.75, ,1,5,6.75,5,6.75,7,1
1,2,24,3,4,4,5,4,5,3,4,4,4,4,4,4,4,4,3,3,3,2,4,4.5,4,2,1,4,4,4,4,3,1
1,2,55,5,6,6,7,7,7,1,7,6,5,7,6,5,5,4,6,6,3,1,1,7,6,2,1,6.25,5,6.25,5,6,1
1,2,50,3,6,6,7,6,6,2,6,6,6,6,3,4,5,5,5,5,3,2,2,6.5,5.25,2,1,6,4.25,6,4.25,5,1
1,2,31,3,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,3,2,4,4.5,3.75,2,1,4.25,4,4.25,4,4,1
1,2,29,4,5,4,7,4,7,1,4,4,4,4,4,5,4,5,3,1,3,2,4,5.5,5,2,1,4,4.5,4,4.5,3,1
1,2,56,4,5,4,5,5,4,4,4,5,4,4,4,5,5,5,4,4,3,1,4,5,4.25,2,1,4.25,4.75,4.25,4.75,4,1
1,1,32,5,5,5,5,5,5,3,5,5,4,4,5,5,5,5,4,4,4,2,1,5,5,3,1,4.5,5,4.5,5,4,1
1,1,32,3,4,4,5,4,3,5,4,4,4,3,4,4,4,4,3,3,4,2,4,4.5,3.5,3,1,3.75,4,3.75,4,3,1
1,1,29,3,4,5,5,5,3,5,5,5,6,6,5,5,5,5,4,5,4,2,5,5,3.75,3,1,5.5,5,5.5,5,4,1
1,2,32,6,7,7,7,6,5,3,6,6,6,3,6,6,4,3,3,3,4,1,2,6.5,6.25,3,1,5.25,4.75,5.25,4.75,3,1
1,1,25,3,4,3,5,5,4,4,3,3,3,2,3,2,2,1,2,2,4,2,3,5,3.5,3,1,2.75,2,2.75,2,2,1
1,2,35,6,6,6,7,6,2,6,6,6,6,6,6,6,5,6,6,5,4,2,2,6.5,5,3,1,6,5.75,6,5.75,6,1
1,1,54,2,5,6,7,6,3,5,6,6,6,5,6,6,6,7,6,6,4,1,2,6.5,4,3,1,5.75,6.25,5.75,6.25,6,1
1,1,41,2,5,3,6,6,7,1,5,5,4,1,2,1,1,1,1,1,4,2,4,6,4.25,3,1,3.75,1.25,3.75,1.25,1,1
1,2,33,5,5,5,6,5,3,5,5,5,4,4,4,5,4,4,1,1,4,2,2,5.5,4.5,3,1,4.5,4.25,4.5,4.25,1,1
1,2,29,3,5,4,7,5,6,2,4,5,4,3,2,3,4,4,1,1,4,2,3,6,4.5,3,1,4,3.25,4,3.25,1,1
1,1,45,5,6,6,7,6,5,3,6,5,5,4,5,5,5,4,5,4,4,2,3,6.5,5.5,3,1,5,4.75,5,4.75,5,1
1,1,31,3,3,3,4,3,4,4,3,3,2,2,3,3,2,2,2,1,4,1,4,3.5,3.25,3,1,2.5,2.5,2.5,2.5,2,1
1,1,30,1,1,1,5,1,2,6,1,1,1,1,1,1,1,1,1,1,4,2,6,3,1.25,3,1,1,1,1,1,1,1
1,1,50,4,6,6,6,4,5,3,5,5,4,4,4,4,4,4,4,4,4,2,3,5,5.25,3,1,4.5,4,4.5,4,4,1
1,1,52,6,7,7,7,6,3,5,6,6,6,6,6,6,6,6,4,4,4,1,1,6.5,5.75,3,1,6,6,6,6,4,1
1,1,24,4,6,6,6,3,5,3,3,2,2,2,2,2,2,2,1,1,4,1,3,4.5,5.25,3,1,2.25,2,2.25,2,1,1
1,1,26,4,6,6,6,5,2,6,6,6,5,5,5,5,4,4,1,1,4,2,2,5.5,4.5,3,1,5.5,4.5,5.5,4.5,1,1
1,1,55,2,6,6,7,5,4,4,5,3,2,5,3,4,5,5,3,3,4,2,3,6,4.5,3,1,3.75,4.25,3.75,4.25,3,1
1,1,20,5,6,6,7,6,5,3,6,4,4,4,2,2,2,2,1,1,4,2,2,6.5,5.5,3,1,4.5,2,4.5,2,1,1
1,1,51,6,7,7,7,7,7,1,7,7,7,7,5,5,6,7,6,6,4,2,1,7,6.75,3,1,7,5.75,7,5.75,6,1
1,2,31,5,6,4,6,5,5,3,4,4,5,3,3,4,5,5,3,3,4,1,3,5.5,5,3,1,4,4.25,4,4.25,3,1
1,1,42,3,5,4,6,4,3,5,5,4,4,4,4,4,5,5,4,4,4,2,3,5,3.75,3,1,4.25,4.5,4.25,4.5,4,1
1,1,46,4,5,6,6,6,5,3,5,4,5,4,5,5,5,5,4,3,4,2,2,6,5,3,1,4.5,5,4.5,5,4,1
1,2,45,4,6,6,7,6,5,3,6,6,6,5,4,4,4,5,4,4,4,2,2,6.5,5.25,3,1,5.75,4.25,5.75,4.25,4,1
1,2,34,2,5,4,7,6,4,4,4,4,5,4,4,4,5,4,5,4,4,1,4,6.5,3.75,3,1,4.25,4.25,4.25,4.25,5,1
1,2,37,3,4,5,5,4,5,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4.5,4.25,3,1,3,3,3,3,3,1
1,2,54,4,7,7,7,6,6,2,7,6,6,6,6,7,6,5,6,6,4,1,3,6.5,6,3,1,6.25,6,6.25,6,6,1
1,1,25,4,5,4,4,3,3,5,5,3,3,2,5,4,3,2,1,1,4,1,4,3.5,4,3,1,3.25,3.5,3.25,3.5,1,1
1,2,28,7,7,6,7,6,7,1,6,6,6,5,4,4,4,4,4,4,4,1,2,6.5,6.75,3,1,5.75,4,5.75,4,4,1
1,2,37,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,5,4.5,3,1,4,4,4,4,4,1
1,2,22,2,3,3,4,3,6,2,2,2,3,4,2,2,5,5,4,2,4,2,5,3.5,3.5,3,1,2.75,3.5,2.75,3.5,4,1
2,2,47,6,6,6,4,4,4,4,4,3,3,3,4,4,4,4,2,2,1,1,4,4,5.5,1,-1,3.25,4,3.25,4,2,-1
2,2,27,7,7,6,5,4,5,3,4,4,4,3,5,4,4,4,3,3,1,1,1,4.5,6.25,1,-1,3.75,4.25,3.75,4.25,3,-1
2,1,39,6,6,6,4,5,6,2,3,2,3,2,5,4,3,3,2,2,1,1,2,4.5,6,1,-1,2.5,3.75,2.5,3.75,2,-1
2,1,35,7,7,6,5,4,5,3,2,2,2,2,3,2,2,2,2,2,1,1,2,4.5,6.25,1,-1,2,2.25,2,2.25,2,-1
2,1,30,7,7,7,7,7,7,1,7,4,7,7,4,4,4,4,4,4,1,1,1,7,7,1,-1,6.25,4,6.25,4,4,-1
2,1,40,5,5,6,5,5,4,4,4,4,5,3,4,5,3,4,3,3,1,1,3,5,5,1,-1,4,4,4,4,3,-1
2,1,33,4,5,6,4,5,5,3,4,4,5,5,3,4,4,4,5,5,1,1,2,4.5,5,1,-1,4.5,3.75,4.5,3.75,5,-1
2,2,57,4,5,5,4,6,3,5,4,5,4,4,5,4,6,6,4,3,1,1,4,5,4.25,1,-1,4.25,5.25,4.25,5.25,4,-1
2,1,55,7,7,7,6,6,6,2,5,3,3,2,7,7,6,6,6,4,2,1,1,6,6.75,1,-1,3.25,6.5,3.25,6.5,6,-1
2,1,40,7,7,5,4,6,7,1,6,2,6,4,6,6,4,4,1,1,1,1,2,5,6.5,1,-1,4.5,5,4.5,5,1,-1
2,1,53,6,5,5,4,4,5,3,4,3,4,3,5,5,5,5,4,4,2,1,3,4,5.25,1,-1,3.5,5,3.5,5,4,-1
2,1,46,7,7,7,4,5,7,1,6,4,5,5,6,7,5,4,3,4,2,1,1,4.5,7,1,-1,5,5.5,5,5.5,3,-1
2,2,56,5,4,4,3,2,7,1,2,1,3,2,3,3,1,2,1,1,2,1,3,2.5,5,1,-1,2,2.25,2,2.25,1,-1
2,2,54,6,5,4,4,4,4,4,3,3,2,2,2,2,2,3,3,2,1,3,5,4,4.75,1,-1,2.5,2.25,2.5,2.25,3,-1
2,1,58,7,7,7,7,6,2,6,6,5,6,3,6,6,6,6,5,6,2,1,1,6.5,5.75,1,-1,5,6,5,6,5,-1
2,2,50,3,2,3,3,4,5,3,3,5,3,4,4,3,3,5,5,4,1,3,4,3.5,3.25,1,-1,3.75,3.75,3.75,3.75,5,-1
2,1,28,6,5,5,1,1,6,2,3,1,1,1,5,3,3,2,1,1,1,1,2,1,5.5,1,-1,1.5,3.25,1.5,3.25,1,-1
2,1,45,6,5,6,3,4,6,2,1,1,1,1,3,1,1,1,1,1,2,1,2,3.5,5.75,1,-1,1,1.5,1,1.5,1,-1
2,1,52,5,5,5,4,4,5,3,5,3,4,4,5,5,5,4,3,3,2,1,3,4,5,1,-1,4,4.75,4,4.75,3,-1
2,2,20,4,4,3,2,2,3,5,2,1,1,1,1,1,1,1,1,1,1,1,5,2,3.5,1,-1,1.25,1,1.25,1,1,-1
2,2,43,5,5,6,4,4,5,3,3,3,5,4,4,6,5,5,3,3,2,1,2,4,5.25,1,-1,3.75,5,3.75,5,3,-1
2,2,59,6,5,5,5,5,5,3,4,3,3,3,4,4,4,5,5,5,1,1,3,5,5.25,1,-1,3.25,4.25,3.25,4.25,5,-1
2,2,51,7,7,7,5,6,6,2,5,4,4,4,4,4,4,4,4,4,1,1,4,5.5,6.75,1,-1,4.25,4,4.25,4,4,-1
2,2,42,6,5,5,2,2,6,2,2,2,1,1,6,6,1,1,1,1,1,1,3,2,5.5,1,-1,1.5,3.5,1.5,3.5,1,-1
2,2,51,6,5,6,3,6,5,3,3,2,5,1,5,3,4,3,2,1,1,1,1,4.5,5.5,1,-1,2.75,3.75,2.75,3.75,2,-1
