"subject"	"ppn"	"age"	"sex"	"hyp"	"cdt"	"man"	"iat"	"tskor"	"exo"	"rdtm"	"mnch"	"Npls"	"Nwon"	"Ngoo"	"Ncor"	"Lpls"	"Lwon"	"Lgoo"	"Lcor"	"mnch2"	"blv"	"hypn"	"x"	"bl1"	"bl2"	"Lgbl"	"Ngbl"	"comp"	"incomp"	"c"	"startblock"	"D4"	"D4_odd"	"D4_even"
"1"	1	1	23	"v"	1	1	1	1	1	1	264227	2	7	4	6	7	0	1	1	2	1	6	5	NA	1.34679248829669	1.66254703044503	1.34679248829669	1.66254703044503	1.34679248829669	1.66254703044503	-0.315754542148335	"1"	-0.5757	-0.4952	-0.8665
"2"	2	2	18	"v"	2	2	1	1	1	1	264222	1	5	5	3	4	3	3	5	3	2	6	-1	NA	0.964709298280913	1.38669558584136	0.964709298280913	1.38669558584136	1.38669558584136	0.964709298280913	0.42198628756045	"1"	-0.9559	-0.889	-1.1401
"3"	3	3	21	"v"	1	2	1	1	2	1	270827	1	2	2	2	0	6	6	6	8	2	4	3	NA	1.23514028777324	1.32242065569686	1.23514028777324	1.32242065569686	1.32242065569686	1.23514028777324	0.0872803679236278	"1"	-0.4239	-0.7062	-0.1944
"4"	4	4	18	"m"	2	1	1	1	2	1	280238	2	4	5	5	4	2	2	2	3	1	7	-1	NA	1.41622395037198	1.56633775601528	1.41622395037198	1.56633775601528	1.41622395037198	1.56633775601528	-0.150113805643298	"1"	-0.3464	-0.6138	-0.0059
"5"	5	5	22	"v"	1	1	0	1	1	1	354741	2	5	3	3	3	3	5	3	5	1	5	4	NA	1.6848859214763	1.45159109426953	1.6848859214763	1.45159109426953	1.6848859214763	1.45159109426953	0.233294827206771	"1"	0.653	0.438	0.9283
"6"	6	6	20	"v"	2	2	0	1	1	1	237946	1	7	6	7	6	0	0	0	1	1	5	-1	NA	1.21139218578485	1.41394995646644	1.21139218578485	1.41394995646644	1.41394995646644	1.21139218578485	0.202557770681592	"1"	-0.0919	-0.2286	0.0886
"7"	7	7	20	"v"	1	2	0	1	2	1	256883	1	7	7	7	8	0	1	1	0	1	2	7	NA	1.3248239105351	1.85988206038926	1.3248239105351	1.85988206038926	1.85988206038926	1.3248239105351	0.535058149854164	"1"	-0.9503	-1.1703	-0.7893
"8"	8	8	21	"v"	2	1	0	1	2	1	339877	2	3	3	1	4	8	8	8	8	1	7	-1	NA	1.55345644735397	1.32459973336477	1.55345644735397	1.32459973336477	1.55345644735397	1.32459973336477	0.228856713989201	"1"	0.7446	0.4683	1.2182
"9"	9	9	21	"m"	1	1	1	1	2	1	261819	2	7	6	8	8	0	1	1	0	1	2	5	NA	1.63743030275556	1.4548968986941	1.63743030275556	1.4548968986941	1.63743030275556	1.4548968986941	0.182533404061461	"1"	0.9636	0.4239	1.5776
"10"	10	10	25	"m"	2	1	0	2	1	1	177794	2	5	4	6	5	4	3	3	2	1	7	-1	NA	1.60127449980469	1.62315695325435	1.62315695325435	1.60127449980469	1.62315695325435	1.60127449980469	0.0218824534496536	"2"	0.0638	0.5434	-0.2272
"11"	11	11	18	"v"	1	2	1	1	1	1	381056	1	3	3	3	3	3	3	5	4	2	6	5	NA	1.81779400141045	1.93527700429465	1.81779400141045	1.93527700429465	1.93527700429465	1.81779400141045	0.117483002884201	"1"	-0.8676	-0.9248	-0.9001
"12"	12	12	26	"m"	2	1	1	1	1	1	316294	2	2	2	2	2	6	6	6	6	1	6	-1	NA	2.09292794821229	2.28814662267675	2.09292794821229	2.28814662267675	2.09292794821229	2.28814662267675	-0.195218674464466	"1"	0.4439	1.0561	0.0836
"13"	13	13	23	"m"	1	1	0	1	2	1	241700	2	0	0	2	1	8	7	8	7	2	1	7	NA	1.68668325544474	1.59520130620836	1.68668325544474	1.59520130620836	1.68668325544474	1.59520130620836	0.0914819492363819	"1"	0.2084	0.1801	0.2748
"14"	14	14	19	"m"	2	2	0	2	2	2	177200	1	7	6	8	6	0	0	0	0	1	6	-1	NA	1.67498042091728	1.59510761273494	1.59510761273494	1.67498042091728	1.67498042091728	1.59510761273494	0.0798728081823414	"2"	0.6351	0.6876	0.642
"15"	15	15	18	"v"	1	2	0	1	1	1	248475	1	6	4	5	5	2	3	2	1	1	6	3	NA	1.64598243145865	1.51442890872566	1.64598243145865	1.51442890872566	1.51442890872566	1.64598243145865	-0.131553522732989	"1"	0.559	0.2588	0.8592
"16"	16	16	22	"v"	2	1	0	1	1	1	301306	2	1	1	0	1	6	6	8	7	2	6	-1	NA	1.61196689943717	1.40263262058706	1.61196689943717	1.40263262058706	1.61196689943717	1.40263262058706	0.209334278850118	"1"	0.5314	0.7801	0.4381
"17"	17	17	19	"m"	1	1	1	2	1	1	658641	2	5	4	5	4	5	4	5	6	1	6	4	NA	1.1703489774447	1.57949009512824	1.57949009512824	1.1703489774447	1.57949009512824	1.1703489774447	0.409141117683541	"2"	-0.7968	-0.8752	-0.5694
"18"	18	18	22	"v"	2	2	1	2	1	1	213622	1	2	3	3	2	5	4	5	5	2	5	-1	NA	1.29389157305721	0.89510455723405	0.89510455723405	1.29389157305721	1.29389157305721	0.89510455723405	0.398787015823162	"2"	0.7803	0.6709	1.0211
"19"	19	19	20	"v"	1	2	1	2	2	1	278756	1	0	0	0	0	8	8	8	8	2	6	7	NA	1.60485961946421	1.79962145004028	1.79962145004028	1.60485961946421	1.60485961946421	1.79962145004028	-0.194761830576073	"2"	-0.0918	-0.3051	0.1012
"20"	20	20	19	"v"	2	1	1	2	2	1	356271	2	3	3	4	6	2	3	2	2	1	7	-1	NA	1.0592094836393	1.3625022152914	1.3625022152914	1.0592094836393	1.3625022152914	1.0592094836393	0.3032927316521	"2"	-1.1392	-1.054	-1.3032
"21"	21	21	25	"v"	1	1	0	2	1	1	285886	2	8	0	0	0	7	7	8	8	2	0	7	NA	1.02812999240794	1.54527377082511	1.54527377082511	1.02812999240794	1.54527377082511	1.02812999240794	0.517143778417171	"2"	-0.9505	-1.1955	-0.7812
"22"	22	22	18	"v"	2	2	0	2	1	1	307985	1	6	5	6	6	1	2	2	2	1	3	-1	NA	2.08619968702223	1.83067779295935	1.83067779295935	2.08619968702223	2.08619968702223	1.83067779295935	0.255521894062881	"2"	0.4957	0.1023	1.3296
"23"	23	23	20	"m"	1	2	0	2	2	1	207104	1	7	5	7	6	1	2	3	2	1	3	4	NA	1.80852312034546	1.5671861156502	1.5671861156502	1.80852312034546	1.80852312034546	1.5671861156502	0.241337004695263	"2"	0.5327	0.5335	0.6889
"24"	24	24	20	"v"	2	1	0	2	2	1	218372	2	0	0	2	0	6	5	7	8	2	6	-1	NA	1.37411319260248	1.27364220403261	1.27364220403261	1.37411319260248	1.27364220403261	1.37411319260248	-0.100470988569868	"2"	0.5723	0.3669	0.6831
"25"	25	25	18	"m"	1	1	1	2	2	1	248503	2	6	6	7	6	1	2	1	1	1	2	7	NA	1.75540067730428	1.60966769607413	1.60966769607413	1.75540067730428	1.60966769607413	1.75540067730428	-0.145732981230155	"2"	1.2137	0.7045	1.5896
"26"	26	26	20	"v"	2	2	1	2	2	1	310285	1	2	2	2	3	6	4	5	5	2	7	-1	NA	1.68457549484812	1.37401134592186	1.37401134592186	1.68457549484812	1.68457549484812	1.37401134592186	0.310564148926254	"2"	0.3128	0.2854	0.3906
"27"	27	27	19	"m"	1	2	1	2	1	1	206860	1	4	5	5	4	5	6	5	3	2	5	6	NA	1.64005921912496	1.49050262684066	1.49050262684066	1.64005921912496	1.64005921912496	1.49050262684066	0.149556592284297	"2"	0.3679	0.0914	0.9821
"28"	28	28	22	"v"	2	1	1	2	1	1	181510	2	5	3	5	6	3	2	3	2	1	7	-1	NA	1.63391586859183	2.0565129350282	2.0565129350282	1.63391586859183	2.0565129350282	1.63391586859183	0.422597066436362	"2"	-0.6718	-0.9278	-0.4636
"29"	29	29	22	"v"	1	1	0	1	2	1	269011	2	0	0	0	0	7	5	6	6	2	7	6	NA	1.61551079476117	1.39718907978457	1.61551079476117	1.39718907978457	1.61551079476117	1.39718907978457	0.218321714976602	"1"	0.6967	0.5677	0.8668
"30"	30	30	19	"m"	2	2	0	2	2	1	266205	1	6	2	7	1	1	2	1	1	1	3	-1	NA	1.70192808934027	1.62296565763617	1.62296565763617	1.70192808934027	1.70192808934027	1.62296565763617	0.0789624317041024	"2"	0.3717	0.0847	0.5806
