"subject"	"qBF_pre"	"qBL_pre"	"qBT_pre"	"qJF_pre"	"qJL_pre"	"qJT_pre"	"qBF_post"	"qBL_post"	"qBT_post"	"qJF_post"	"qJL_post"	"qJT_post"	"blockcode"	"EC"	"hypnosis"	"hypn"	"hyp_scored"	"react"	"suggest"	"qB_EC"	"qJ_EC"	"qB_CA"	"qJ_CA"	"contECcorrect"	"contCAcorrect"	"AMPPre_Bob"	"AMPPre_Jan"	"AMPPost_Bob"	"AMPPost_Jan"
"1"	1	6	6	6	5	5	5	2	2	2	6	6	6	"ECBobpos"	1	1	7	7	32	26	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze persoon is gemeen en onaangenaam"	"Deze persoon is lief en aangenaam"	2	2	0.7	0.433333333333333	0.0666666666666667	0.8
"2"	2	2	2	2	6	6	6	5	5	5	3	3	3	"ECJanpos"	2	1	6	5	36	24	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze persoon is lief en aangenaam"	"Deze persoon is gemeen en onaangenaam"	2	2	0.6	0.766666666666667	0.7	0.466666666666667
"3"	3	6	6	6	2	2	2	6	6	6	3	3	3	"ECBobpos"	1	2	NA	NA	22	45	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze persoon is gemeen en onaangenaam"	"Deze persoon is lief en aangenaam"	2	2	0.766666666666667	0.166666666666667	0.766666666666667	0.2
"4"	4	4	4	4	4	4	4	6	6	6	2	2	2	"ECJanpos"	2	2	NA	NA	41	28	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze persoon is lief en aangenaam"	"Deze persoon is gemeen en onaangenaam"	2	2	0.366666666666667	0.1	0.433333333333333	0.266666666666667
"5"	5	4	4	3	4	4	2	4	6	4	3	4	2	"ECBobpos"	1	1	7	4	26	41	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze persoon is lief en aangenaam"	"Deze persoon is gemeen en onaangenaam"	2	0	0.966666666666667	0.0333333333333333	0.933333333333333	0.133333333333333
"6"	6	3	3	4	5	5	5	5	5	4	3	4	3	"ECJanpos"	2	1	7	5	33	41	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze persoon is lief en aangenaam"	"Deze persoon is gemeen en onaangenaam"	2	2	0.566666666666667	0.633333333333333	1	0.2
"7"	7	5	5	5	4	3	3	5	5	5	4	4	3	"ECBobpos"	1	2	NA	NA	27	42	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze persoon is gemeen en onaangenaam"	"Deze persoon is lief en aangenaam"	2	2	0.5	0.3	0.4	0.466666666666667
"8"	8	4	5	3	5	4	5	5	5	3	4	3	2	"ECJanpos"	2	2	NA	NA	27	29	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze persoon is lief en aangenaam"	"Deze persoon is gemeen en onaangenaam"	2	2	0.5	0.566666666666667	0.6	0.5
"9"	9	4	5	4	4	3	4	3	3	4	4	5	4	"ECBobpos"	1	1	8	6	35	34	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze persoon is gemeen en onaangenaam"	"Deze persoon is lief en aangenaam"	2	2	0.966666666666667	0.0333333333333333	0.0333333333333333	1
"10"	10	4	3	3	5	6	6	4	4	4	3	3	3	"ECJanpos"	2	1	7	6	33	42	"Deze foto werd steeds gepresenteerd met NEGATIEVE prenten en woorden"	"Deze foto werd steeds gepresenteerd met POSITIEVE prenten en woorden"	"Deze persoon is lief en aangenaam"	"Deze persoon is gemeen en onaangenaam"	2	2	0.366666666666667	0.466666666666667	0.3	0.4
