ID,study.F,cond,cond.F,att1_1,att1_2,att1_3,base_mor,base_prac,base_cons,base_know,base_emo,att2_1,att2_2,att2_3,resp1,resp2,resp3,resp4,resp5,resp6,essMoral,essPrac,poli_soc,poli_econ,age,gender,d_gen_4_TEXT,language,d_lang_10_TEXT,Th1VA,Th2VA,Th3VA,Th4VA,Th5VA,Th6VA,Th1VB,Th2VB,Th3VB,Th4VB,Th5VB,Th6VB,duplicatedIP
R_2xRGdIa066WWlFT,Study 1A,-1,Moral Message,4,4,4,4,5,1,5,4,4,4,4,"So, the vehicles we use to recycle seem to be the problem, not recycling. If we used automated electric vehicles, we'd not worry about the pollution or them killing wildlife, so, the sort of ruins that whole argument.",NA,NA,NA,NA,NA,7,1,1,1,29,Male,NA,English,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,FALSE
R_1f2Wh9meMFtYfRU,Study 1A,-1,Moral Message,2,2,3,2,4,3,3,2,3,3,3,I thought it was ridiculous,I felt the person was likely paid by some anti-recycling group,The person is ignorant and or uneducated,I wouldn't be surprised if his rants were politically motivated,NA,NA,6,4,2,2,44,Male,NA,English,NA,3,2,2,4,NA,NA,2,2,2,3,NA,NA,FALSE
R_4Sc3UaMAb5FAFl7,Study 1A,-1,Moral Message,4,4,4,3,3,1,3,2,4,4,4,subjective,overuse of arbitrary language,biased,manipulative,NA,NA,5,3,4,4,36,Female,NA,English,NA,3,4,2,2,NA,NA,4,2,2,2,NA,NA,FALSE
R_WcXfczgexyZIve1,Study 1A,1,Practical Message,4,4,4,4,5,2,3,2,2,2,2,I have no idea how reliable this source is,I have no idea about the reliability of the data the source is using to bolster these claims,Sustainability always comes at a cost,"I'm not completely convinced by the argument, but curious to find out how valid it may or may not be",NA,NA,3,7,1,2,39,Male,NA,English,NA,3,3,3,3,NA,NA,3,2,3,3,NA,NA,FALSE
R_1ie7PVNE2WkSeRi,Study 1A,-1,Moral Message,4,4,4,5,5,1,3,3,4,4,4,I need some scientific proof that the air quality from recycling plants is affecting local wildlife.,I seriously doubt that so many more pets are getting run over because of more recycling trucks.,Someone needs to figure out statistical data that measures the negatives vs. positive impact of recycling.,The more we recycle the less trash we should have.,How does trash that is in landfill and oceans affect the wildlife?,NA,7,2,2,3,37,Female,NA,English,NA,3,2,3,2,3,NA,2,2,3,2,3,NA,FALSE
R_3oKNuv6gOQgh7n4,Study 1A,1,Practical Message,4,4,4,4,5,1,5,3,4,4,4,"Despite what the article says, recycling is necessary",Recycling is needed even if it is costly,We need to somehow internalize the external costs of these choices we make,NA,NA,NA,1,5,1,1,25,Female,NA,English,NA,2,2,3,NA,NA,NA,2,2,3,NA,NA,NA,FALSE
R_2cbIdzF9UjisMYM,Study 1A,1,Practical Message,4,4,4,4,5,1,4,4,4,4,4,Doesn't surprise me it's more expensive,Still benefits the environment though,Makes recycled products you buy cheaper,Still a good thing regardless if it's more expensive.,NA,NA,3,6,4,4,34,Male,NA,English,NA,3,2,3,2,NA,NA,1,2,3,2,NA,NA,FALSE
R_yCLUrJcUnMIjj0t,Study 1A,-1,Moral Message,1,1,1,2,2,1,2,1,0,0,0,Wondering about the data on the animals being run over,Shocked by the animal deaths near recycling facilities,NA,NA,NA,NA,7,1,2,3,25,Female,NA,English,NA,3,3,NA,NA,NA,NA,3,3,NA,NA,NA,NA,FALSE
R_3J9QVk8EHN6ppLs,Study 1A,-1,Moral Message,4,2,3,2,4,3,2,3,4,3,4,"An increase in ""road kill"" is of major concern due to recycling?",That sounds like nonsense,400 more trash trucks in LA?,400 more trucks for LA. Big deal.,number of pets killed increasing due to added trash trucks?,"This guys arguments against recycling are specious, at best.",2,2,3,5,67,Male,NA,English,NA,3,2,3,4,3,2,3,2,2,2,3,2,FALSE
R_4Z73GqQQ8s6FvGh,Study 1A,1,Practical Message,4,4,4,5,5,1,3,4,4,4,4,Just because it costs more doesn't me we shouldn't do it. We will eventually have to do it because we will run out of resources to use,"If the energy and resources needed to purifying the air isn't worser for the environment than recycling, then we should do it.","Money and time is a resource we will not run out of, physical resources will run out.",NA,NA,NA,1,6,3,3,29,Female,NA,English,NA,2,3,2,NA,NA,NA,2,1,2,NA,NA,NA,FALSE
R_3kiEAw0khYLozEv,Study 1A,1,Practical Message,4,4,4,1,3,5,3,3,-4,-4,-4,"Everything has its pros and cons, I suppose.  But, with all of that, it seems recycling is not good.",NA,NA,NA,NA,NA,1,7,5,5,35,Male,NA,English,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE
R_r25qEZvBq1YZ2r7,Study 1A,-1,Moral Message,2,1,2,3,3,2,3,2,0,0,0,concerned,worried,sad,confused,NA,NA,6,5,2,3,41,Female,NA,English,NA,4,4,4,4,NA,NA,4,3,3,4,NA,NA,FALSE
R_1Nr0mFggwGHHdMd,Study 1A,-1,Moral Message,4,4,4,5,5,1,4,1,3,3,3,I had never thought that recycling would cause us to double the trucks.,I had never linked the fact that recycling could be causing more animals to be ran over.,I had never thought about the fumes leeching from the recycling centers.,I didn't think recycling centers were harming the ecosystem at all.,NA,NA,6,7,2,3,26,Female,NA,English,NA,3,3,3,3,NA,NA,3,3,3,2,NA,NA,FALSE
R_3CVpnvBBXHNCOYi,Study 1A,1,Practical Message,2,3,3,4,4,3,4,2,0,0,0,it is ironic that recycling to help the environment is actually harmful because of the factory chemicals.,NA,NA,NA,NA,NA,7,6,1,3,28,Male,NA,English,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE
R_eyw0Bj2IIF8Jh4t,Study 1A,-1,Moral Message,2,3,3,3,3,1,3,2,0,1,0,I thought about how credible the article was.,I thougth about how many people recycle in the world.,NA,NA,NA,NA,2,4,3,3,29,Male,NA,English,NA,3,3,NA,NA,NA,NA,3,3,NA,NA,NA,NA,FALSE
R_2xWxHSR1f7Wa7sX,Study 1A,-1,Moral Message,3,3,3,4,3,1,3,3,3,3,3,This guy is seriously using ROADKILL as an excuse to not recycle??,"Toxic fumes near recycling plants kill nearby plant life.  Uh, okay....let's just throw that shit into the river, and see how the plants fare then, mmmkay?",NA,NA,NA,NA,2,1,1,1,43,Female,NA,English,NA,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,FALSE
R_3RaeazfYsZLb2In,Study 1A,-1,Moral Message,3,3,3,3,5,2,3,2,3,3,3,I'm supposed to believe this because I was told it was written by a professor.,"If he wants to be moiral regarding animal life, he should be a full vegan.",NA,NA,NA,NA,3,1,3,3,34,Male,NA,English,NA,3,4,NA,NA,NA,NA,3,2,NA,NA,NA,NA,FALSE
R_bOcEoraoMN3tvzP,Study 1A,1,Practical Message,3,2,3,4,5,3,4,3,2,3,2,"I don't agree with curbside recycling, either.",I think that people should just drive to the recycling drop-off in their own car each couple of weeks.,I don't think I agree with this professor.,There are probably aspects of this scenario that he isn't taking into account.,NA,NA,2,6,1,1,39,Female,NA,English,NA,1,3,2,2,NA,NA,1,3,2,2,NA,NA,FALSE
