ID,,cond,cond.F,att1_1,att1_2,att1_3,base_mor,base_prac,base_cons,base_know,base_emo,att2_1,att2_2,att2_3,resp1,resp2,resp3,resp4,resp5,resp6,essAQ,essMoral,essPrac,poli_soc,poli_econ,rate1,rate2,rate3,rate4,rate5,rate6,age,gender,d_gen_4_TEXT,language,d_lang_10_TEXT,duplicatedIP
R_2WUP0JWL3lnC2FL,,-1,Moral Message,4,4,4,1,1,1,3,1,4,4,4,I thought that the person writing the article might not be a marijuana user at all.,I thought that the person writing the article is not well educated in the topic.,I,NA,NA,NA,3,2,6,3,3,3,3,3,NA,NA,NA,29,Male,NA,1,NA,FALSE
R_2f6RvvWbsUOtvFS,,1,Practical Message,4,4,4,5,5,1,5,5,4,4,4,I thought the argument did not have much merit where is the proof of poor work,I thought the argument was not important who is going to care if it crosses state line and is legal in both states as long as it is the amount you are allowed to have,It is not reckless it is needed for the police to focus on more important matters,This will be more taxes to help schools and other causes when it is taxed properly,NA,NA,1,7,5,1,1,1,1,1,1,NA,NA,55,Female,NA,1,NA,FALSE
R_2vYCyy6ybbTKXpU,,1,Practical Message,0,0,0,2,2,2,2,1,0,0,0,None of the arguments were good,NA,NA,NA,NA,NA,1,1,2,4,3,3,NA,NA,NA,NA,NA,29,Male,NA,1,NA,FALSE
R_enfKv5tOL4cwixr,,1,Practical Message,2,1,3,4,4,1,3,1,2,1,3,"The article was fear-mongering, not providing any real justification against marijuana legalization",Many states have legalized marijuana and have seen tremendous economic gains via taxation,Few scientific studies show that legalization has resulted in lower workplace productivity,The economic cost for prohibiting marijuana is actually significantly higher than simply legalizing it at the federal level,"Marijuana can transition easily into the market, and once it is legal at the federal level, law enforcement won't have to worry about spending resources trying to stop people from going to other states to get their marijuana",There have been other countries where marijuana has been legalized and we have not seen any impacts to the global economy. Too many statements made in this article are simply unfounded,1,2,6,1,2,1,1,1,1,1,1,32,Male,NA,1,NA,FALSE
R_2uUqBOBVBYZ0YZC,,-1,Moral Message,0,1,-2,2,4,2,3,5,3,0,1,I thought they made good points.,The laws should change.,A lot of things are changing.,Things will change soon.,I like how the change is going.,I wish my state would change.,5,3,4,2,2,1,1,1,1,1,1,35,Male,NA,1,NA,FALSE
R_r2TLZ1Ujvg7jF2F,,1,Practical Message,4,4,4,3,3,4,4,3,3,3,3,I am in favor of marijuana legalization.,A Lot of people exaggerate the problem of it .,I think it would fix the economy.,Some people do take advantage of it.,NA,NA,7,7,6,4,4,1,1,1,3,NA,NA,26,Male,NA,1,NA,FALSE
R_6EcJ4eozar0Iq2Z,,-1,Moral Message,4,4,4,4,4,2,4,3,4,4,4,The essay was reaching,wasn't based on evidence,NA,NA,NA,NA,1,3,4,1,1,2,2,NA,NA,NA,NA,34,Female,NA,1,NA,FALSE
R_3gRDpcKeDnB7VV9,,-1,Moral Message,0,0,0,1,3,1,2,1,0,0,0,I think legalizing it is going to just cause a bunch of stoners that can't control their basic urges.,Weed culture is annoying and i don't want it to grow...but other than that I don't care what people do.,NA,NA,NA,NA,2,2,3,3,3,2,3,NA,NA,NA,NA,34,Male,NA,1,NA,FALSE
R_02FWXocQNg0sHq9,,1,Practical Message,3,3,3,4,4,1,4,3,2,3,3,"I feel that marijuana legalization is a good idea, WITH CONDITIONS. It should be like alcohol. Highly taxed and regulated. No driving and smoking MJ.",NA,NA,NA,NA,NA,5,6,5,2,3,1,NA,NA,NA,NA,NA,41,Female,NA,1,NA,FALSE
R_pH0QyaRkAaxPCPT,,-1,Moral Message,4,4,4,3,5,1,5,4,4,4,4,the tax benefits are huge,this can treat illnesses,safer than alcohol,NA,NA,NA,1,7,6,2,4,1,1,1,NA,NA,NA,31,Male,NA,1,NA,FALSE
R_1NnpUYZzhJiYOXw,,1,Practical Message,2,2,2,2,2,2,2,2,1,1,1,Interesting,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,28,Female,NA,1,NA,FALSE
R_2119ARCuwj6X2Ng,,1,Practical Message,0,1,1,4,3,1,4,3,1,3,1,legalization is a great way for more tax income to states and towns,It will still probably still have to be policed the same as alcohol,NA,NA,NA,NA,5,3,6,4,3,1,3,NA,NA,NA,NA,35,Male,NA,1,NA,FALSE
R_CevpYswVUMH4MiR,,1,Practical Message,4,4,4,5,5,5,5,5,4,4,4,Are there studies backing up your claims? (workplace efficiency),"Once legalized, we can tax and make more money than locking people in jail.",NA,NA,NA,NA,3,3,4,4,5,1,1,NA,NA,NA,NA,23,Male,NA,1,NA,FALSE
R_3PzyVe5TxLJONdA,,-1,Moral Message,1,1,1,1,1,1,1,1,1,1,1,MAKING MARIJUANA LEGAL WILL HELP PEOPLE WHO NEED IT AND CANT FIND IT EASY,WHILE IT HAS MANY BENEFITS IT DOES HAVE A DOWNSIDE AS YOU DONT WANT PEOPLE ABUSING IT,NA,NA,NA,NA,3,3,3,4,4,1,3,NA,NA,NA,NA,41,Female,NA,1,NA,FALSE
R_2dXQda1NaqxDQIT,,1,Practical Message,4,4,4,5,5,5,5,5,4,4,4,what about all the people locked up for harmless weed charges.,NA,NA,NA,NA,NA,1,1,1,2,2,1,NA,NA,NA,NA,NA,27,Male,NA,1,NA,FALSE
R_USCv4zj7LOQ6u3v,,-1,Moral Message,-2,-2,-2,4,2,2,3,3,-2,-2,-2,Studies have proven that it is addictive and addiction can lead to paranoia.,What about the kids who are around it? Getting exposed to it.....that's not healthy.,NA,NA,NA,NA,3,3,3,3,3,2,2,NA,NA,NA,NA,35,Male,NA,1,NA,FALSE
R_1rAlaq442QbowZy,,1,Practical Message,2,2,2,3,4,3,4,1,1,1,1,His point about individual states wouldn't be an issue if they all legalized it.,It's true that there are costs involved but there's also evidence we'd make a ton of money from doing it legally.,Black markets wouldn't be an issue once it was on the full market.,"I hadn't heard about the business losses, that's interesting.",NA,NA,3,1,6,2,2,1,1,1,2,NA,NA,24,Female,NA,1,NA,FALSE
R_22zAYNuqqkwdkvM,,1,Practical Message,4,4,4,2,5,1,4,1,4,4,4,Marijuana is proven to be far less harmful than alcohol so a correlation is invalid,It's not really addictive,"There are minimal, if any, harmful effects of marijuana use",It might give alcohol and tobacco users a safer alternative,NA,NA,4,1,7,2,4,1,1,1,1,NA,NA,40,Male,NA,1,NA,FALSE
R_32VIP8A9rGmBUeC,,-1,Moral Message,-1,-1,-1,4,5,3,4,1,-2,-2,-2,"I agree that, though many people argue marijuana is harmless, its use has consequences just like any other drug.",So many children already suffer at the hands of addicts. How much worse will it be if some of the addicting substance is legal?,"Impaired driving is one of the most serious challenges facing our young people, I think. Adding to the problem is a critical error.",NA,NA,NA,7,7,7,5,5,2,2,2,NA,NA,NA,33,Female,NA,1,NA,FALSE
R_29oWIUT2InhOn75,,-1,Moral Message,0,0,0,3,3,3,3,3,0,0,0,I don't really have a say.  I think if people are able to drink and get drunk that a controlled substance is a controlled substance no matter what.,I think if more people are responsible then it would be ok.,nothing,no comment,no comment,no comment,4,4,4,2,2,3,3,3,3,3,3,39,Female,NA,1,NA,FALSE
