cond_all,cond_text,pair_ID,cooperation_rate,role,WK1,WK2,WK3,WK4,WK5,WK6,WK7,WK8,WK9,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,likabe,get_along,close,friends,tasty,age,gender,gender,mean_close
0,separate,1,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,5,20,1,male,2
0,separate,2,0.15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,5,3,2,5,20,1,male,4
0,separate,3,0.5,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,5,5, ,4,6,27,2,female,4.666666667
0,separate,4,0.95,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,5,2,20,2,female,5.25
0,separate,5,0.7,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,6,6,6,6,6,18,2,female,6
0,separate,6,0.55,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,4,4,4,4,6,19,2,female,4
0,separate,7,0.95,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,6,6,6,0,22,2,female,6
0,separate,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,5,2,18,1,male,5
0,separate,9,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,4,2,21,2,female,4.75
0,separate,10,0.7,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,5,6,6,6,6,19,2,female,5.75
0,separate,11,0.35,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,5,4,3,3,6,20,2,female,3.75
0,separate,12,0.15,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,5,21,1,male,2.75
0,separate,13,0.15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,5,29,1,male,3.5
0,separate,14,0.45,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,3,3,3,3,0,20,2,female,3
0,separate,15,0.85,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,6,2,4,5,19,1,male,4.25
0,separate,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,1,17,1,male,4.25
0,separate,17,0.5,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,3,4,3,3,5,43,1,male,3.25
0,separate,18,0.4,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0, , , , , , , , , 
0,separate,19,0.45,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,4,4,4,4,2,20,1,male,4
0,separate,20,0.4,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,3,3,3,4,4,24,2,female,3.25
0,separate,21,0.95,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,6,6,6,6,22,1,male,6
0,separate,22,0.9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,4,3,3,6,19,1,male,3.75
0,separate,23,0.95,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,5,4,5,4,22,2,female,5
