"","X","MID","condition","side","party","Q1.att_1","Q2.attT2_1","Q3.congruent","Q4.fitworldview","Q5.morals","Q6.important","Q7.coremoral","Q8.elab.deep","Q8.elab.effort","Q8.elab.thought","Q9.lib.simval","Q10.cons.simval","recep1.arg","recep2.arg","recep3.gen","recep4.gen","dem.gender","dem.age","dem.eth","dem.ideology","argument.x","att.check","username","timer","argument.y","Exclude."
"1",1,"e45c84d9","opposing party argument","against","conservative",100,100,7,7,7,7,7,3,4,5,4,2,2,1,2,2,2,1,6,1,"It doesn't encourage hard work. They likely would think about the things they experienced in order to make a comfortable or not so comfortable living, and think it wouldn't be right if people dont' have to work hard in order to exist.",3,"5b4ad8c3",551,"It doesn't encourage hard work. They likely would think about the things they experienced in order to make a comfortable or not so comfortable living, and think it wouldn't be right if people dont' have to work hard in order to exist.",""
"2",2,"b3dce8ab","control","in favor of","",0,0,7,7,7,1,5,6,4,2,2,6,4,4,1,3,2,3,6,6,"One argument is that it provides all Americans with a low level quality of life, regardless of skill, education, or background.  The basic income ensures that no one falls through the cracks and that every person has the money for food and housing. ",3,"9f33e3af",1,"One argument is that it provides all Americans with a low level quality of life, regardless of skill, education, or background.  The basic income ensures that no one falls through the cracks and that every person has the money for food and housing. ",""
"3",3,"e6cae2d3","opposing party argument","against","conservative",79,84,6,6,5,5,6,3,4,5,5,2,3,3,4,4,2,2,6,2,"It acts as a disincentive for people to work hard so that they are able to improve their life and contribute to society.",3,"cb322f94",537,"It acts as a disincentive for people to work hard so that they are able to improve their life and contribute to society.",""
"4",4,"53ecbd5d","control","against","",64,64,2,1,1,5,5,5,4,5,1,7,5,3,4,4,1,5,6,6,"If everyone gets it there is not much incentive to work.",3,"fd1dd6c4",1,"If everyone gets it there is not much incentive to work.",""
"5",5,"7f767d4a","same party argument","in favor of","liberal",35,31,2,3,2,3,4,2,4,5,6,5,5,6,5,5,1,2,6,3,"It provides everyone the ability to cover their basic needs in order to be contributing members of our society.",3,"3987b1c0",822,"It provides everyone the ability to cover their basic needs in order to be contributing members of our society.",""
"6",6,"bd3ef43c","opposing party argument","in favor of","liberal",15,7,6,6,6,4,3,6,6,7,3,6,3,3,3,3,1,2,6,6,"This would be a fair and easy way to take care of some of our most vunerable people in society. This would allow everyone equal access to food and housing. This program would help so many and help to alleviate problems such as homelessness, poverty, etc.",3,"e3a0fce",882,"This would be a fair and easy way to take care of some of our most vunerable people in society. This would allow everyone equal access to food and housing. This program would help so many and help to alleviate problems such as homelessness, poverty, etc.",""
"7",7,"3886af59","same party argument","against","liberal",100,75,5,6,5,5,6,6,5,6,5,2,5,5,4,4,1,2,4,1,"considering the present political climate and the fact that the government is controlled by republicans a liberal would object to the idea of a universal basic income being implemented under this administration. Because in order to do so social programs would be cut and taxes mainly on the lower and middle classes would be increased to pay for the income. Military spending and taxes on the rich would not even be considered.",3,"a7b89516",223,"considering the present political climate and the fact that the government is controlled by republicans a liberal would object to the idea of a Universal Basic Income being implemented under this administration. Because in order to do so social programs would be cut and taxes mainly on the lower and middle classes would be increased to pay for the income. Military spending and taxes on the rich would not even be considered.",""
"8",8,"946f472b","same party argument","in favor of","liberal",25,35,3,3,4,3,4,7,7,7,5,4,3,5,3,4,1,1,6,2,"Young people just starting out, single parents or families that have fallen on hard times could benefit from UBI. It will prevent people from relying on Food Stamps and instead will allow people to get back on their feet until they can go off UBI.",3,"d44bdac",118,"Young people just starting out, single parents or families that have fallen on hard times could benefit from UBI. It will prevent people from relying on Food Stamps and instead will allow people to get back on their feet until they can go off UBI.",""
"9",9,"501a015b","opposing party argument","against","conservative",61,44,4,3,3,4,5,3,3,4,5,3,5,4,3,5,2,2,6,1,"It might hurt people that actually work harder than others and it will make people care less about the world. It will hurt the economy. ",1,"cae7d2b4",607,"It might hurt people that actually work harder than others and it will make people care less about the world. It will hurt the economy. ",""
"10",10,"fd933325","control","against","",100,100,7,5,7,7,7,6,5,7,7,1,7,5,2,2,1,2,6,1,"That it leads to people being lazy and mooching off the government. Also, it's too much of a drain of resources on the government, and how will we pay for it? ",3,"3bbe0cde",1,"that it leads to people being lazy and mooching off the government. Also, it's too much of a drain of resources on the government, and how will we pay for it? ",""
"11",11,"4a9ca1ef","opposing party argument","against","conservative",83,77,7,7,7,3,4,5,6,6,6,2,3,3,3,3,1,2,3,3,"America is the land of opportunity where people who worked hard get what they deserve. The work that we do is not on the same level as others that make less money and we therefore deserve to earn said money.",3,"3b6587ac",145,"America is the land of opportunity where people who worked hard get what they deserve. The work that we do is not on the same level as others that make less money and we therefore deserve to earn said money.",""
