ID,Sex,Age,Ra1,RaLast,TrainingDifficulty,S1,M1,A1,N1,R1,TAD
1,M,19,0.914203649,0.822627216,,33,20,567,10,45,72
2,F,18,0.7374800517,0.9,1,68,24,435,27,47,59
3,M,21,0.788745052,0.957913145,,66,30,421,19,46,56
4,M,22,-0.067399499,0.904137278,,53,27,326,21,47,51
5,M,20,0.62086682,0.972190552,,57,29,476,13,45,63
6,M,21,0.939069889,0.679660543,,67,25,372,11,46,60
7,M,20,0.729241335,0.814717106,,48,28,203,20,44,54
8,M,18,0.396243231,0.513236005,,47,21,178,14,32,51
9,M,21,0.588092458,0.901506705,,58,28,442,22,47,70
10,M,21,0.50089434,0.825127609,,54,27,327,17,48,52
11,M,21,-0.267189323,-0.459277069,,64,31,339,13,39,70
12,M,21,0.308235604,0.629869273,,60,32,277,23,46,63
13,M,22,0.723128627,0.663779176,,59,26,562,27,46,67
14,M,21,-0.228332829,0.385212373,,45,21,237,14,33,48
15,F,20,-0.358133952,0.082551925,,51,22,242,9,34,38
16,M,20,0.050965815,0.87232768,,39,16,236,16,32,49
17,M,21,0.060408631,0.50042683,,45,24,293,15,42,47
18,M,20,-0.184746548,0.725634921,,54,28,494,14,43,58
19,F,22,0.810546105,0.974922569,,55,25,341,15,47,57
20,M,19,0.044095751,0.372908114,,67,33,473,12,44,67
21,M,20,0.750866176,0.834765645,,52,22,314,13,39,52
22,M,20,0.386513856,0.536132418,,52,28,382,20,47,63
23,F,20,-0.466322491,0.681917829,,29,17,245,17,30,50
24,M,21,0.134419922,-0.552554033,,54,27,346,21,37,51
25,M,22,0.579662371,0.97076123,,56,31,452,22,47,39
26,M,19,0.166917458,0.88707212,,47,25,545,16,47,62
27,M,19,0.929762639,0.961869379,,45,23,249,17,45,56
28,M,20,0.945443791,0.913260036,,56,21,452,26,47,63
29,M,21,0.80707696,0.842974789,,64,18,408,20,46,69
30,M,20,0.795473229,0.8965018,,72,32,468,22,47,66
31,M,19,0.821059017,0.941810765,0,51,27,299,21,39,58
32,M,20,0.509414721,0.966935611,,56,20,484,6,40,50
33,M,20,0.609703362,0.965988106,,41,27,537,10,48,63
34,M,19,0.958845541,0.966075652,0,54,30,575,20,48,66
35,M,20,0.71930391,0.825930897,,47,29,134,15,32,55
36,M,20,-0.12399525,0.869024205,,34,23,300,12,25,58
37,M,23,0.642934888,0.788318366,0,72,28,477,29,45,62
38,M,23,0.858077409,0.901883861,,55,32,581,19,42,65
39,M,20,0.404730933,0.878332293,,54,31,292,11,39,60
40,M,21,0.574558074,0.581774209,0,69,30,365,17,48,73
41,M,20,0.321603089,0.904849819,,53,27,302,14,43,57
42,M,20,0.405187291,0.79063349,,52,30,265,7,35,58
43,M,20,0.408130037,0.762171998,,35,27,227,10,36,50
44,M,20,0.896674613,0.778861429,,46,24,304,13,30,43
